Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
Hph,11.0388,10.1321,13.458,10.9251,23.1751,19.0913,27.6347,22.3211,24.0066,23.4362,23.4063,22.5233
l(3)82Fd,47.3012,47.6405,45.4066,45.4615,35.5781,35.3271,27.165,27.1564,41.8459,41.9542,59.1943,57.4892
CG11999,43.4659,55.6479,58.7082,75.0936,45.4345,57.9761,33.8319,43.3579,35.092,44.8327,35.4918,45.2531
CG1161,48.8929,54.5622,56.0111,61.2686,55.8126,63.8146,66.1471,73.7495,80.2336,88.7272,87.3293,94.3023
RpII18,92.1146,128.193,45.1553,62.7088,35.7659,49.7906,36.1667,50.0768,42.1226,57.205,45.6644,63.3668
7B2,83.1972,83.6673,35.6158,35.8209,14.0428,14.119,15.1458,15.2282,17.8626,17.9631,15.4221,15.5069
kkv,18.307,18.4485,48.6142,49.1254,49.3238,49.8218,30.9731,31.0254,30.0151,30.1639,21.0421,21.2435
PEK,14.5315,14.4424,13.159,12.9018,11.0459,10.8459,11.1015,10.8147,13.8541,13.7035,16.2658,15.7856
RpL35A,2487.7,2765.92,1856.72,2064.29,1391.95,1547.92,1024.22,1138.83,949.111,1055.12,957.396,1064.41
CG12162,28.6709,30.0071,31.5806,32.9148,26.735,28.2433,15.4305,16.3553,21.9842,23.3828,22.3639,23.7101
mRpL44,43.8071,46.5506,53.8959,57.121,36.8786,38.9246,13.4936,14.3872,11.9747,12.9311,14.339,15.4491
Snr1,27.5459,30.0463,22.2652,24.2778,16.3732,17.8412,23.7208,25.8556,28.9507,31.5622,35.2591,38.4208
Hdac3,19.2121,19.919,13.7082,14.2125,11.3159,11.7322,14.8848,15.4325,19.3714,20.0707,22.8542,23.6845
CG31550,22.2444,20.5854,18.6919,16.7851,14.5843,14.0345,17.2853,16.2076,21.3617,19.8409,23.319,21.6955
Pcmt,23.268,21.934,25.4025,23.2552,34.545,32.211,70.0785,64.5585,73.7046,67.624,78.4737,72.0991
CG14671,24.2342,34.625,24.8469,36.2022,19.3717,26.0364,17.7123,25.2784,13.4212,21.1034,14.4707,22.291
CG12746,30.33,29.8256,43.4147,42.8562,27.7927,28.1364,15.8609,15.7015,11.2489,11.2674,11.0874,10.9317
CG2931,15.6463,15.6181,13.1978,13.1741,11.8038,11.7825,10.9125,10.8929,17.1294,17.0985,19.553,19.5178
Rheb,43.9335,50.5364,32.7853,40.4141,30.3023,38.6676,45.1899,57.6109,48.8019,61.3822,58.3189,67.2781
CRMP,30.9971,31.9859,21.5864,22.2824,19.2648,19.8676,12.0673,12.446,18.456,19.0242,34.3008,35.3708
noi,17.9753,17.9254,17.0547,17.0028,13.3521,13.3366,12.7087,12.6007,15.2973,15.2272,19.7485,19.6819
Vha26,558.11,583.322,502.202,524.793,391.701,408.943,227.727,237.927,196.704,205.47,190.655,199.129
exba,208.576,211.634,328.143,335.445,209.282,214.589,211.985,214.942,277.606,282.438,455.369,463.06
Rga,27.3035,31.0822,21.769,24.3313,19.7515,22.7706,22.9942,26.2728,40.6879,46.0758,49.0896,55.6223
Atu,15.2221,15.9954,13.137,13.8383,12.6438,13.4636,17.1761,18.3236,22.6,24.0536,19.0227,20.0455
RpL13A,5627.55,6570.09,3987.9,4389.14,3182.65,3818.85,2520.05,2826.81,2321.83,2634.88,2094.36,2435.54
CG31549,48.8966,48.8966,40.5652,40.5652,33.2591,33.2591,27.8015,27.8015,26.3386,26.3386,24.6393,24.6393
CG12171,165.555,165.555,102.527,102.527,124.144,124.144,63.5029,63.5029,39.6227,39.6226,25.855,25.8551
CG31548,129.32,129.32,116.256,116.256,131.289,131.289,61.9536,61.9536,32.4021,32.4021,23.6044,23.6044
MTA1-like,15.7145,17.798,14.1139,16.0175,12.0781,13.716,12.569,14.18,21.864,24.6441,23.2199,26.0239
sec23,94.5402,93.8685,134.047,133.276,112.354,110.833,75.7591,75.3333,85.2296,83.8255,84.7513,83.2945
CG2182,39.2745,38.9567,34.7689,33.0839,27.8396,27.6385,33.3995,32.0776,40.1758,39.9936,44.8276,44.6809
Xe7,26.0986,26.0202,22.1788,22.1919,18.9724,18.9628,23.8767,23.886,35.6115,35.7196,43.7293,43.8388
CG1236,16.6863,19.4969,24.7525,28.9264,23.4856,27.4239,97.6554,114.198,123.307,144.155,139.211,162.574
Madm,23.4112,24.0163,15.3895,15.6248,15.4703,15.8,11.6448,14.0716,18.1086,22.1135,19.511,19.6225
sec8,14.2685,14.336,15.0225,15.0974,14.4825,14.5843,14.792,14.8984,18.6281,18.7749,22.1156,22.2455
jagn,50.563,72.3566,66.5178,90.3617,51.7841,71.5979,29.5531,39.6329,34.4441,47.7088,47.0475,66.2891
Rpn5,38.8131,37.8158,83.8293,83.9058,58.8642,57.817,92.1424,91.3991,163.125,162.776,240.467,244.048
CG2046,20.6581,22.6838,30.4038,33.4483,24.9132,27.3146,34.7964,38.2409,56.7225,62.4044,113.98,123.882
CG2017,18.2422,19.0625,10.1039,10.7605,17.9728,18.9245,29.1459,30.7251,40.2208,42.2241,43.1819,44.3666
Rm62,402.719,349.731,224.524,188.933,189.023,157.105,163.929,142.688,250.941,213.123,260.265,224.34
Gasp,53.7822,64.0375,279.43,348.968,212.044,263.359,130.755,157.214,99.2819,118.06,59.2643,71.7999
CG17919,39.5931,40.3902,41.1049,41.9104,47.5409,48.5332,28.3282,28.8918,29.8865,30.4178,31.4138,32.051
snRNP2,48.7132,57.6986,59.5392,70.1775,40.4549,47.814,42.5045,50.2578,46.5376,54.8266,56.8085,66.9928
Pak,15.3148,14.9228,15.273,14.9851,18.821,17.7118,16.9139,15.7558,22.9571,22.6008,25.2959,23.9881
CG31367,15.6614,11.521,16.4476,12.603,13.5383,10.289,15.8314,12.2107,25.8389,19.5445,33.7964,26.1403
CG33097,12.0738,12.0893,11.9481,11.9567,10.2897,10.3114,10.2576,10.271,21.0357,21.05,21.4422,21.4822
CG10286,42.5063,42.5075,27.8411,27.85,18.2422,18.2494,11.1478,11.1535,12.1898,12.1891,14.3117,14.3229
CG1041,12.4585,13.0221,31.238,32.6386,45.2828,47.2791,41.1944,43.0458,20.4647,21.3521,15.9323,16.6303
TfIIFalpha,15.217,16.8221,24.6316,27.2064,20.2068,22.3382,18.0603,19.905,21.0696,23.2464,26.171,28.8519
CG10277,22.4086,22.2748,13.5882,14.1174,16.0498,15.8219,24.9246,25.7943,45.326,44.9532,63.6261,62.6258
CG1021,29.4055,27.06,21.3484,20.0852,18.3414,17.6425,12.9072,12.1486,29.0367,27.1163,61.7107,57.0547
CG10267,24.5366,24.3191,16.5654,16.393,13.0233,13.1621,17.8081,17.8336,22.799,22.689,29.2054,29.2597
Neurochondrin,37.5456,37.5456,61.9209,61.9209,89.4405,89.4405,58.532,58.532,87.6364,87.6364,142.506,142.506
CG1307,40.5702,52.2459,35.182,45.2202,32.352,41.5451,25.5071,32.8711,28.6007,36.6913,29.2544,37.426
Spase18-21,83.9274,101.57,168.598,204.292,138.565,168.079,139.177,168.373,131.409,159.19,128.698,155.816
7SLRNA,62.445,62.445,39.2526,39.2526,196.48,196.48,78.389,78.389,113.08,113.08,24.9716,24.9716
Sodh-1,269.397,277.311,120.061,123.447,250.669,258.024,108.481,111.568,79.1611,81.4603,19.5068,20.0719
CG1105,25.6093,26.9841,32.4497,34.1546,27.888,29.2722,34.4385,36.1505,39.1662,41.2713,34.453,36.3411
CG1104,23.0059,23.0814,35.2632,35.3308,25.8113,25.8587,20.3986,20.3758,23.9323,24.0089,23.8903,24.024
CG1943,20.5786,22.6103,39.2943,42.8018,40.0214,43.0326,66.0792,73.4064,121.045,131.675,227.234,250.214
