Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
l(2)gl,15.0129,14.8766,26.2014,26.0558,20.1612,20.0325,20.0105,20.1379,29.0499,29.081,29.1505,29.3291
galectin,19.2189,15.3657,18.275,15.2183,15.4263,17.8034,32.9771,27.893,41.0998,35.5274,42.3832,41.2988
CG11377,17.6334,17.656,37.0465,37.0781,20.034,20.3191,13.0279,13.0327,16.6065,16.6296,20.3391,20.3685
M(2)21AB,316.803,328.4,163.385,167.319,244.375,249.544,90.9177,94.5064,74.7279,77.2995,55.9916,62.0147
CG3164,87.5069,89.9355,93.8666,95.0086,69.8946,70.8578,83.6428,85.7381,109.692,113.799,139.163,143.011
Gs1,101.867,87.0411,153.081,131.678,185.632,159.066,176.773,151.487,411.118,351.436,590.472,508.166
CG11454,20.304,20.5679,17.3953,17.8355,15.0753,15.192,19.7564,20.0308,20.4073,20.3904,20.2444,20.6598
CG11455,193.342,217.181,226.018,240.523,180.043,204.702,124.103,138.326,80.2523,90.0139,90.2382,101.782
CG3436,19.9343,17.0774,19.6606,18.329,20.7053,16.1244,17.8066,17.6844,19.1131,20.8183,26.6675,30.1716
mRpL10,49.5194,54.6553,62.8854,69.4173,46.2947,51.0159,20.7048,22.7412,15.5153,17.1091,17.7151,19.5714
kis,18.5427,17.9155,18.7006,18.0594,14.3005,14.2924,11.5436,11.1755,35.7997,34.3905,46.0588,45.0843
CG3625,55.2168,56.4621,64.7797,66.1144,64.6455,65.7519,77.6942,79.4886,53.9875,55.0183,55.4805,55.8198
CG11562,14.2163,17.2861,24.6731,29.4461,20.6588,24.6425,13.0506,15.9603,17.2003,21.1018,19.5757,23.791
U2af38,27.1894,29.4004,21.751,23.4963,16.1464,17.4634,18.0354,19.4871,24.3014,26.2742,29.9758,32.3726
Hop,75.789,80.1837,69.0846,73.2677,53.5703,56.7657,39.9474,42.3569,65.5122,69.5574,101.8,107.54
CG11912,19.4664,19.4664,40.6328,40.6328,44.086,44.086,730.954,730.954,1110.1,1110.1,1463.54,1463.54
CG11911,199.223,199.223,200.267,200.267,70.7246,70.7246,793.038,793.038,233.954,233.954,60.373,60.373
Ent1,12.4747,13.245,11.1385,11.8367,12.7477,13.1676,29.1327,29.9251,41.1586,42.2789,53.7721,54.9214
alpha-Adaptin,21.454,21.4962,21.6361,21.6809,15.9008,15.9483,18.9062,18.9427,31.4431,31.4839,39.8636,39.9199
ebi,16.9346,17.5907,14.7782,15.3552,10.4082,10.8141,12.7016,13.1839,18.9823,19.7097,21.891,22.7405
RpLP1,2871.46,3530.82,2544.74,3128.91,1989.03,2445.29,1820.87,2239.21,1719.36,2114.35,1781.04,2190.2
CG11885,25.1299,25.1299,23.776,23.776,13.9482,13.9482,21.6166,21.6166,37.9986,37.9986,53.5407,53.5407
crq,10.9476,10.5199,14.7616,14.2125,15.8651,15.5412,33.1543,32.4297,46.5766,45.9754,70.1227,69.778
CG4164,30.3082,31.0754,62.189,63.6423,39.3562,40.3351,24.5649,25.1802,29.7667,30.5276,33.6649,34.5143
cbt,21.5368,25.3044,20.4365,23.9684,16.7309,19.6174,16.0426,18.8526,27.1437,31.8768,46.3795,54.4488
lwr,76.0412,78.5863,76.9704,79.5831,60.7269,59.3494,73.5634,76.3025,95.1537,99.196,112.804,116.645
Spp,95.7926,103.242,186.507,201.096,129.3,139.724,83.0406,88.8407,75.276,80.4668,76.6982,81.5457
CG2789,59.8969,65.637,74.2993,79.7713,112.428,124.855,149.57,161.402,112.757,121.563,98.6769,106.77
CG2807,17.0084,18.1054,15.014,15.9579,13.0647,13.879,12.4887,13.3077,16.8316,17.9674,18.2388,19.2482
CG2813,21.769,22.1362,17.094,17.364,13.5532,13.7466,18.4858,18.7704,26.6208,26.8143,52.4914,51.2569
CG3662,105.511,113.168,59.547,64.3779,62.6894,67.995,153.923,165.564,199.171,213.77,173.879,187.585
drongo,18.4274,20.6388,22.6649,23.755,24.5303,27.1334,30.4686,31.0865,65.3862,66.9004,105.06,108.013
kraken,80.9699,93.3367,70.5688,81.3613,45.1458,51.9181,28.8928,33.2982,23.5723,27.1779,20.8231,23.9689
aru,27.7616,27.8143,20.1091,20.1924,19.2373,19.3915,13.7692,13.8869,15.6857,15.7535,14.3358,14.4478
dbe,49.8142,49.8142,25.6579,25.6579,14.8351,14.8351,10.4821,10.4821,12.4258,12.4258,15.5553,15.5553
PNUTS,35.2999,35.185,26.6068,26.4901,27.7203,27.7032,33.8361,34.2661,40.9317,41.37,47.3456,47.9942
Atg4,13.479,13.6198,15.9227,16.1295,14.3057,14.7037,28.3437,29.0957,44.3206,45.0321,61.1342,62.1074
Pino,42.8336,45.0913,45.843,48.204,50.9644,53.6046,40.7925,42.9108,65.5474,68.9936,152.196,160.091
CG4552,16.9826,17.0497,17.3476,17.4162,13.866,13.9207,17.2317,17.3001,22.226,22.314,23.6822,23.7757
CG4726,181.341,195.783,137.294,147.586,102.152,109.846,103.754,111.451,55.1999,59.2811,33.4358,35.8627
CG4764,24.7773,24.784,28.7355,28.7733,23.0428,23.0558,23.793,23.8237,30.2571,30.2775,35.3943,35.4239
capt,89.8163,88.2153,98.4967,97.4125,113.648,113.246,110.888,110.112,145.156,143.327,150.384,148.254
Tango14,55.0911,60.0121,43.7431,47.8325,34.7141,37.862,20.607,22.2773,19.6046,21.4288,16.7032,18.6823
CG5080,16.9069,17.5834,24.5758,25.6695,30.5722,31.5438,23.3118,23.9592,19.6744,20.3194,13.7837,14.0887
Plap,17.1274,17.291,25.3271,25.5318,25.0328,25.2711,23.0384,23.2467,41.8516,42.2217,47.2451,47.5687
CG4887,16.1379,16.8616,11.3842,11.8861,10.0211,10.4831,11.2392,11.7302,17.4541,18.2398,18.4736,19.2456
CG5126,10.5055,11.0213,15.5118,16.3334,11.8071,12.3026,15.8405,16.32,16.3679,17.0686,18.9961,19.3712
CG5001,46.7433,46.1788,47.8713,47.8697,57.5995,58.5494,47.0509,47.0205,32.1236,32.3451,54.8493,54.9187
CG5011,88.6795,88.6795,32.6842,32.6842,56.8682,56.8682,92.5419,92.5419,100.099,100.099,46.2366,46.2366
CG33128,514.268,513.516,399.314,398.764,417.477,416.921,663.465,662.568,635.528,634.599,322.281,321.823
RFeSP,410.429,498.731,383.292,464.372,362.403,438.32,182.376,220.252,100.929,122.181,66.0696,79.2417
cpb,27.6408,28.3491,43.943,45.4036,31.7175,32.3987,45.4685,46.8202,61.7173,63.7982,75.2459,77.854
CG17660,27.8651,27.6863,24.4668,24.5334,22.6383,23.1879,27.948,28.0491,31.6979,31.5732,34.1962,34.7492
mRpL48,77.1739,78.6867,89.8313,91.0424,59.8796,60.6158,15.9762,16.5487,15.0971,15.7552,17.8102,18.8389
CG18317,15.9902,16.3751,11.7725,11.6676,13.721,13.7357,13.817,13.7674,18.935,19.0127,27.6166,27.0615
Eno,1091.11,1108.84,1268.34,1289.02,1401.28,1429.08,970.046,986.25,508.768,518.759,217.501,221.694
CG31937,45.0094,44.9295,64.0359,63.9223,73.2517,73.1217,55.7624,55.6634,32.4468,32.3892,26.408,26.3612
CG10908,40.3847,49.1802,56.9114,69.1772,49.1404,59.5832,35.0635,42.2928,48.337,58.2654,54.878,65.6979
CG7289,17.4916,17.8659,19.0815,19.4806,16.1078,16.3429,14.8403,15.1519,18.9647,19.3464,22.6859,23.1472
Got2,369.494,379.938,323.579,334.007,457.408,474.502,234.357,243.753,140.185,145.294,93.1957,95.7816
Nplp4,515.645,562.801,47.1287,46.37,760.572,687.613,453.872,436.963,144.853,164.036,64.0145,60.1185
Su(dx),21.0755,20.6736,21.1832,20.5033,15.6496,15.2589,13.2389,12.9024,17.6707,17.2588,24.09,23.5361
GlyP,546.124,596.314,600.008,653.031,542.747,591.765,438.684,478.04,282.365,307.816,81.93,89.1779
tho2,12.4471,12.4031,13.2917,13.2176,11.6381,11.5461,11.6896,11.5905,17.8245,17.7491,18.8883,18.7982
Uch,12.8861,12.3445,45.5864,43.7744,37.7311,36.3867,93.4986,89.689,163.731,156.645,249.844,237.502
CG7082,30.0146,29.9992,16.6713,16.7299,24.5268,24.2974,25.0893,25.1882,20.7003,20.7887,18.8633,19.0442
l(2)s5379,43.5423,43.5902,57.7071,57.9059,44.2451,44.1845,47.2199,48.9722,67.1339,67.4124,88.1966,88.9266
CG10882,38.0362,42.248,62.507,69.1909,42.1319,46.553,26.8036,29.6578,37.042,41.0102,35.147,38.6212
CG4267,21.1126,21.2232,10.2246,10.6057,25.8787,26.6503,28.2464,28.5249,32.6231,32.7189,38.7692,39.0174
Rab5,52.4735,55.1961,62.0962,63.9382,48.1821,50.3367,73.8412,75.6229,124.761,129.966,199.99,204.338
CG3609,469.755,557.935,392.331,476.22,384.972,465.962,67.3698,79.6108,35.372,42.6698,23.7539,27.5109
Slh,24.7228,24.5964,34.9742,35.3126,25.1209,25.1758,18.4861,18.5097,22.7546,22.6113,25.9946,25.8585
Cyp309a1,18.8171,20.5877,16.1388,17.5302,21.9172,23.5925,15.7703,17.0854,38.3758,41.905,72.1526,78.1033
CG3214,173.654,215.949,163.013,202.674,161.585,200.442,112.019,139.098,61.7291,76.7141,52.6309,65.1122
p16-ARC,38.1982,51.7718,41.318,55.6609,29.5961,39.913,46.2299,62.4902,51.9139,70.7608,58.2696,77.9306
Drp1,36.8184,34.5848,41.1341,38.7379,38.4783,36.6213,27.4281,26.7334,36.956,35.6884,41.528,38.4112
Hrs,13.7711,13.7077,12.6768,12.5471,13.3663,13.2656,23.5269,23.3861,65.4081,64.3985,112.836,111.444
Pgk,325.583,393.111,326.891,394.623,319.525,385.202,228.145,275.028,151.021,181.376,89.9393,108.178
CG9894,126.342,157.596,137.604,166.742,94.2033,115.382,114.359,139.662,175.225,211.322,165.491,192.384
Taf10b,23.8136,23.8954,23.2085,23.3081,21.0104,21.0415,26.8984,26.9076,35.0659,35.0735,40.9046,41.2631
Taf10,28.3942,28.9372,26.0833,26.4426,21.4742,22.2494,30.126,31.4762,37.2229,39.1598,42.457,44.0942
colt,63.9798,64.6127,103.239,103.957,118.18,118.512,58.4144,58.7564,34.7964,35.1298,31.269,31.6826
CG2862,81.3721,86.5955,137.092,145.648,130.71,138.23,118.429,125.735,105.672,112.526,100.087,106.21
oho23B,2695.15,3066.95,2202.34,2479.42,1784.76,2054.53,1670.67,1878.31,1444.5,1649.89,1542.88,1742.51
CG2991,19.6613,18.7033,14.9504,14.4579,17.806,17.2511,17.6702,17.1174,22.0609,21.4042,30.5334,30.0692
CG31694,49.5714,52.5291,45.5201,48.2093,40.3791,42.7731,47.6124,50.4326,64.1445,67.9496,93.6348,99.1586
CG8814,17.1749,17.8897,20.419,21.2371,18.8583,19.6406,34.4364,35.8755,29.0618,30.2814,25.653,26.7281
Prx6005,10.5316,11.1877,20.7497,21.6223,13.886,14.4272,13.302,14.0084,11.5265,12.1898,15.1923,15.9706
CG31950,19.2196,18.2584,26.1972,26.1402,19.5439,17.3148,18.6515,19.4344,23.0287,22.4872,23.417,21.7349
betaggt-II,29.2784,30.7998,26.0505,27.3731,18.6005,19.5606,14.4482,15.1907,15.3356,16.1078,15.1012,15.8983
NTPase,79.761,76.4457,101.273,99.0918,73.6685,71.8311,60.9477,59.4783,44.1531,41.276,39.3882,39.3513
Rbp9,18.1755,16.3103,12.8175,11.6406,29.7615,27.3204,29.4,26.851,33.4899,30.8743,26.382,24.6156
CG9643,30.2266,30.2361,22.3483,22.3564,14.6743,14.6808,11.5144,11.5257,12.5422,12.5422,14.9851,15.0402
Chd1,20.7682,21.4762,13.8084,14.3038,13.0698,13.4403,10.0761,10.3693,15.3518,15.6713,15.973,16.1356
CG3558,26.0187,24.6188,21.7955,20.9826,19.8871,19.0952,20.7751,19.8996,32.7944,31.4381,31.3134,30.1853
CG3605,20.8227,21.171,19.4285,19.741,15.2492,15.5128,16.402,16.6652,21.0648,21.4199,25.3452,25.7691
CG17259,136.777,136.671,149.796,149.857,109.457,109.409,59.0617,59.0529,65.7629,65.744,62.8507,62.8954
CG12400,127.613,202.164,159.252,255.01,143.629,228.279,79.9927,127.883,44.4882,71.3163,39.1256,61.2282
Mad,11.0487,11.9719,10.2291,10.9552,11.6821,12.6316,13.1439,14.1971,25.7209,27.7085,30.7232,32.998
CG3332,36.1816,36.1275,20.2555,20.2189,12.7231,12.7019,23.1643,23.1265,18.8901,18.7565,17.6093,17.3497
CG15406,25.585,27.297,22.3745,23.7205,16.2334,17.1038,24.0682,25.4472,34.116,36.3087,35.5228,37.5684
Ptpa,11.1705,11.9347,12.3488,12.911,10.239,10.7744,10.271,10.6435,12.1645,12.642,12.8963,13.6861
CG2774,12.9478,13.4976,16.3669,16.9139,17.6613,18.354,32.9553,34.0282,55.8553,57.7578,80.9452,83.1076
CG3246,102.961,106.209,90.7127,93.6204,116.347,120.015,35.1102,36.2622,24.2085,25.028,22.872,23.6469
Pdsw,379.325,459.974,330.675,401.912,314.524,381.43,168.969,205.202,101.846,123.244,84.325,102.069
Thor,94.2661,119.224,67.9892,85.9818,160.152,202.193,260.989,329.774,559.884,709.219,557.971,702.241
CG33123,36.4543,38.3303,40.3512,42.442,28.5511,30.038,11.3155,11.9222,13.0197,13.6833,15.5407,16.2625
CG17593,49.6445,53.6456,79.013,85.3747,51.348,55.4104,27.7349,29.8717,28.6868,30.9995,32.9312,35.4672
drm,20.9711,20.7845,21.4965,22.1275,14.7732,14.8224,14.6053,14.9591,22.6356,23.5142,35.1612,36.737
for,26.4976,25.9631,35.5519,34.7788,34.4528,33.9276,25.4074,24.7859,43.1677,42.4687,78.9301,77.8292
CG16704,16.6479,20.8699,24.3035,30.434,208.287,261.109,425.201,532.962,314.23,393.727,125.244,156.855
CG16713,18.4869,46.9157,16.5476,41.6856,58.5168,146.581,55.0793,135.152,42.6926,103.531,20.5348,50.5047
CG16712,323.739,591.081,296.787,541.922,929.857,1696.47,217.17,396.122,36.8271,66.548,11.0152,19.3246
bowl,19.9757,19.0997,13.7204,13.3191,11.4079,11.1232,16.6038,16.04,30.4167,29.4972,38.5772,37.9916
CG34176,76.1332,76.1332,48.7081,48.7081,49.8581,49.8581,58.3938,58.3938,54.6602,54.6602,16.1301,16.1301
CG15422,64.9608,50.3959,42.9141,25.4433,29.993,29.75,44.1603,34.1066,47.2218,45.9006,33.0144,19.3281
CG15423,165.406,177.961,108.974,116.617,97.5699,104.418,151.193,161.685,135.465,145.368,89.01,95.435
CG10039,49.9525,53.906,28.0789,30.5409,21.1933,22.8115,41.7292,44.9641,57.4781,62.0321,48.3519,52.02
CG3714,32.2407,34.6918,30.7666,33.1217,27.0792,29.0834,35.2409,37.8892,57.6502,62.0448,69.2691,74.5182
CG3702,65.5638,68.9351,69.1881,72.7373,43.5085,45.7445,32.7918,34.4666,39.1436,41.1925,44.0921,46.3706
RpL40,2545.13,3009.85,2150.39,2542.79,1559.48,1843.85,1369.62,1620.07,1299.42,1537.14,1522.65,1800.97
Tps1,102.555,105.515,112.827,116.085,157.422,161.971,77.5865,79.8266,52.8477,54.3706,21.2153,21.8279
CG3652,16.3838,17.7431,22.1163,24.0126,19.0069,20.5021,23.3847,24.9585,23.0703,25.2181,23.833,25.4932
l(2)k05819,14.9595,14.8539,14.1077,14.0076,12.8126,12.5117,15.9743,15.2318,20.7198,20.6589,21.7212,21.2931
Dim1,14.6432,19.033,17.534,22.0562,13.1732,16.7049,16.5713,21.0055,17.4835,22.1702,26.2072,33.0356
CG15438,19.0791,19.844,26.4107,27.4602,18.6487,19.3778,18.2107,18.9192,14.7188,15.3018,13.3616,13.8943
CG15440,13.8112,14.6084,12.3997,13.1062,10.9833,11.5974,15.9274,16.8468,22.0047,23.2749,23.2378,24.5082
Gs1l,176.89,181.919,108.182,111.029,81.2821,85.2726,27.7749,29.3526,15.6253,16.4712,12.7659,13.4387
RpL27A,3729.22,3896.36,2992.63,3125.31,2585.15,2720.02,2061.13,2154.44,2108.91,2206.98,1906.83,1990.99
mRpL27,66.1276,100.038,59.0517,93.9085,41.2109,58.4415,19.261,27.9554,15.7807,23.471,17.9054,24.5152
CG3244,556.294,562.815,361.38,362.668,1150.22,1167.21,183.208,186.121,197.481,200.626,223.438,224.577
CG2976,32.4623,43.498,28.777,38.9426,26.2833,35.9539,31.8578,42.7105,33.1998,45.4484,40.3608,54.6101
CG15626,15.3271,16.0746,11.86,12.4143,13.2567,13.864,18.0972,18.8434,24.2221,25.3702,24.1025,25.2046
CG2950,33.9304,33.1881,33.3643,32.078,37.1211,40.4887,40.4729,43.768,52.6331,52.4065,44.5436,41.1867
mRpS2,60.9694,73.8557,55.2986,66.8428,39.9498,48.3311,13.1781,15.8667,12.0737,14.5086,12.2364,14.5702
CG3008,20.0776,20.1124,18.8584,18.8928,18.9032,18.9397,17.856,17.8879,24.6598,24.7105,26.7939,26.8684
CG3036,41.0821,39.7144,38.1227,38.3561,60.9921,58.9008,66.5615,63.7003,73.6218,70.4913,96.7091,93.5117
mRpL24,51.3904,66.345,55.092,71.1018,37.3776,48.3283,18.8042,24.2853,14.6969,18.954,16.7119,21.4663
betaggt-I,20.5145,21.2434,17.5535,18.2148,15.2875,15.8295,14.9779,15.5036,14.9387,15.4666,20.9499,21.7666
Jon25Biii,1785.41,1785.41,2959.65,2959.65,4161.26,4161.26,8107.14,8107.14,4814.97,4814.97,1479.5,1479.5
Jon25Bii,1631.65,1631.65,2047.68,2047.68,1512.73,1512.73,2281.33,2281.33,1275.71,1275.71,503.72,503.72
Jon25Bi,2871.31,2871.31,2569.71,2569.72,1984.56,1984.56,1791.03,1791.03,851.39,851.39,293.928,293.928
CG34125,12.4464,14.8552,12.2837,14.3302,10.766,12.6796,21.0924,25.0297,27.3993,32.6151,32.2512,38.2227
Trip1,329.423,340.303,266.766,275.512,186.405,192.492,183.066,189.017,196.678,203.069,223.536,230.794
CG8885,32.8092,32.4974,48.0669,47.6209,41.3748,41.0048,16.9709,16.8096,15.1354,14.9915,16.2062,16.0522
CG14043,18.5614,18.5614,18.656,18.656,15.0828,15.0828,15.8968,15.8968,20.0802,20.0802,21.5074,21.5074
mRpL28,88.2517,97.337,91.5479,101.826,74.6208,84.1613,45.6002,51.8765,38.4029,43.1359,38.3918,42.191
Gmd,12.5812,14.5062,17.9351,20.816,14.4687,16.6684,17.7421,20.5234,18.5404,21.7152,21.99,25.3829
CG3792,57.0457,62.8083,80.0663,87.9792,57.818,63.3353,35.1989,38.6333,29.9205,32.6849,31.1479,34.1266
CG8891,30.7194,34.0958,33.6511,37.1786,27.563,30.6507,20.0856,22.2993,19.7403,21.8884,20.8474,23.1263
Rtnl1,164.467,174.782,341.878,363.14,327.331,349.731,246.977,259.987,198.214,203.394,221.221,224.26
CG3887,51.5456,62.5813,71.2115,87.2151,62.0685,73.5852,66.4019,81.3071,71.2821,86.5991,102.386,123.722
vkg,393.574,399.554,406.305,412.144,475.477,482.289,54.379,55.2637,31.4965,32.0213,11.8769,12.1343
Cg25C,582.748,611.184,629.149,658.903,696.985,731.127,88.0968,92.3051,56.5534,59.1853,22.213,23.1374
CG31650,29.6863,29.5985,26.1094,26.0737,15.5788,15.4898,16.23,16.1935,24.6598,24.6541,36.4722,36.124
CG31919,21.4839,19.4837,29.5365,22.66,25.3337,24.1898,23.0279,22.9024,45.2387,39.6296,104.672,83.7016
CG33995,17.9582,19.6617,21.0623,26.6736,22.5891,23.2285,24.0308,24.0882,35.1947,39.6537,61.9285,78.4872
eIF-3p40,240.346,266.075,198.647,219.765,154.461,170.925,148.964,164.869,158.923,175.898,163.521,180.739
Rpn11,55.0727,59.451,93.7102,101.143,69.0067,74.4875,115.883,125.12,210.166,226.865,269.833,291.243
pgant5,17.2987,17.0045,23.4407,23.1677,13.4352,13.2293,12.9077,12.7722,23.7129,23.642,34.7639,34.6231
CG5828,14.9883,14.9871,16.5914,16.5902,17.9009,17.8984,29.7303,29.728,40.7589,40.7574,47.1439,47.0735
CG8680,129.887,169.401,120.419,159.405,111.95,138.05,60.6442,79.2021,44.8673,58.5308,47.1415,57.4496
Msp-300,88.4145,47.5254,54.344,35.1759,97.9929,62.3709,39.7491,20.592,57.1197,23.1507,40.4524,14.426
snmRNA:158,81.4192,22.0128,52.8031,15.4891,70.2856,23.8446,55.6806,13.6861,57.1746,17.0019,52.0811,15.3339
Cyp28d1,31.9662,35.9794,20.2286,22.7409,44.9044,50.2403,17.837,20.0715,23.8439,26.7722,14.5658,16.4123
tkv,19.6208,19.4018,13.7002,14.0193,12.5137,13.3978,21.7785,22.1402,45.1292,45.7635,66.3497,67.3827
cype,532.841,679.315,496.744,631.015,476.658,603.338,308.283,389.003,161.159,205,143.653,182.862
CG7382,24.5454,27.3621,26.8691,29.9093,28.324,31.4945,31.2456,34.9303,29.2426,32.5203,33.6197,37.5634
cl,128.538,138.24,128.264,139.126,146.973,157.991,118.307,127.439,140.622,151.462,154.425,167.751
CG6907,27.7108,27.7108,30.1648,30.1648,24.1019,24.1019,25.6143,25.6143,32.2413,32.2413,35.4435,35.4435
CG31648,20.5228,20.5863,23.3707,23.3787,18.1386,18.2488,11.1182,11.2585,10.7111,10.8566,10.9398,11.0125
CG7277,34.2178,34.3429,34.0955,34.3754,33.7449,33.8394,24.8591,24.9529,28.527,28.6717,27.4585,27.8016
Hel25E,89.1732,92.7674,131.704,137.045,83.9381,87.2815,68.1582,70.9592,92.3206,96.0598,103.67,107.85
Lam,67.1474,67.4002,49.6116,49.6728,27.0812,27.1062,34.3041,34.3053,64.7306,64.7796,72.9168,72.982
Oscillin,25.7852,22.3789,32.8395,28.3858,25.3421,21.6869,79.3023,69.372,109.813,99.5006,139.916,132.628
obst-E,192.135,360.868,70.6482,128.852,440.196,675.244,175.144,235.364,52.7414,68.2859,12.085,15.6558
Gpdh,339.276,330.071,442.868,435.155,398.031,399.012,152.018,152.564,59.3685,58.0013,27.2474,27.5687
chic,174.786,179.176,270.409,280.364,239.296,251.419,368.176,385.334,582.254,607.054,794.584,811.157
eIF-4a,1446.87,1662,1008.3,1148.4,864.431,978.421,802.624,902.649,953.02,1061.86,1157.75,1281.43
ifc,27.1363,32.9225,36.3268,44.1742,40.6621,49.3951,33.1737,40.2908,26.8857,32.6787,26.6413,32.3582
mtm,21.0799,22.3102,20.1999,21.224,16.2936,17.1311,20.7173,21.7761,27.4562,29.0538,31.7241,33.2055
ade2,32.0234,32.3888,18.0859,18.2718,27.3306,27.6877,17.8644,18.0882,56.9162,57.7588,60.1943,61.1186
slmo,287.251,287.441,212.012,212.181,164.835,164.689,104.527,104.052,77.9753,83.0164,71.7495,71.4137
CG9135,13.811,14.6621,16.7116,17.6429,12.8443,13.7052,31.0887,33.0844,53.2968,56.4736,67.2196,71.0179
CG9140,240.306,257.802,226.637,243.026,206.974,222.003,102.063,109.411,62.4107,66.9552,53.6191,57.5388
CG13993,69.6175,74.1345,86.1269,91.838,68.2641,72.645,46.1468,49.034,45.2998,48.2795,61.78,65.5714
CG9154,21.8553,22.7341,16.9918,17.6102,11.4205,11.8208,10.7784,11.0661,12.5817,13.1295,14.262,14.5356
Kr-h2,112.48,91.1046,134.185,114.779,73.9047,71.6918,63.1141,62.3889,81.3296,68.5719,99.9752,84.2625
CG9175,17.0061,16.467,23.5039,23.089,16.5345,15.9271,11.4291,11.1372,15.6669,15.7025,15.0935,14.5466
Arc-p20,92.9022,110.763,82.5092,98.2979,70.4142,83.8451,85.271,101.597,89.762,106.931,101.085,120.231
CG9486,85.8211,88.3326,94.3343,100.472,43.4053,45.3654,58.4566,62.4846,103.244,112.382,125.027,131.924
Cpr,96.6685,96.204,120.737,120.282,146.094,143.956,60.3961,59.3665,45.5803,44.1337,35.4324,34.8028
Tig,116.234,118.198,166.902,169.705,170.7,173.564,69.3856,70.5479,58.321,59.3129,17.0359,17.323
CG9527,48.7073,53.146,89.582,97.293,59.6264,64.4847,78.3985,85.3037,33.887,37.3227,21.932,23.8508
CG9526,11.7751,11.9846,15.5493,15.8039,12.4087,12.6706,14.8927,15.2238,15.9635,16.2361,16.8752,17.1666
CG16947,17.7316,19.6718,15.9655,17.0307,13.4068,14.2811,16.7687,17.8852,22.9939,24.6832,19.5551,20.713
mmy,40.8227,39.1811,30.7101,28.9533,68.5896,65.2657,39.9885,38.05,35.3362,33.4565,28.7247,26.4405
CG9536,20.5811,22.62,24.0655,26.2793,21.5707,23.6126,23.6456,25.663,23.1553,25.2062,22.9739,25.0779
Sec61alpha,285.423,298.476,605.967,634.501,416.555,433.511,212.011,224.345,183.61,192.163,205.097,214.193
epsilonCOP,57.3204,57.3161,93.0534,93.031,61.7364,61.7263,59.3229,59.3082,64.9682,64.9586,67.0399,67.0079
CG9548,24.2596,27.6619,36.3688,41.4826,22.7145,25.8624,21.68,24.6935,26.9806,30.7757,32.6668,37.2356
CG9547,107.681,120.536,69.2833,78.4572,102.121,114.785,30.7982,34.5908,19.0091,21.5326,15.8411,17.7241
CG11015,398.711,501.339,418.125,525.348,385.041,483.654,227.749,286.381,103.798,130.474,80.815,101.488
Ent2,62.3616,62.3616,55.2659,55.266,41.4367,41.4369,35.3048,35.3049,37.6077,37.6078,42.9733,42.9737
CG11050,34.371,35.0813,28.2246,28.9701,28.398,29.1597,35.5148,36.4172,18.9668,19.2373,11.8798,11.9903
Tango1,23.5008,23.0015,35.5893,35.7351,28.3759,27.8706,25.4424,24.3049,31.6218,32.8494,35.589,36.0474
CG9232,81.9734,86.1675,62.5362,65.7355,86.1248,90.5415,42.5952,44.7629,26.4131,27.7076,16.8405,17.6923
Spn27A,43.7347,43.7347,41.857,41.857,57.1961,57.1961,53.1312,53.1312,54.7941,54.7941,46.9582,46.9582
CG34310,41.8734,39.5924,65.9374,62.6063,63.0633,60.2458,28.5856,27.6134,25.9141,25.5553,26.8062,26.0729
nrv1,68.1162,69.4892,78.9955,80.486,66.1419,67.3288,41.2287,41.9898,55.4973,56.5595,59.834,61.0061
nrv2,79.3347,79.9721,45.0024,46.9075,24.9128,25.2399,26.7536,26.7586,38.4092,38.1908,47.3121,46.2875
Nha1,54.8452,57.6524,41.6763,43.8198,20.1052,21.114,30.3055,31.8095,36.8006,38.5784,61.6385,64.5035
xl6,27.0449,31.3674,23.3333,27.0626,15.1843,17.6111,16.4193,19.0435,27.4531,31.8288,33.9562,39.3551
Hrb27C,165.278,145.483,206.886,177.245,152.188,131.376,82.6897,68.0037,232.79,198.978,291.861,240.532
nop5,281.85,304.535,123.275,133.153,72.4063,78.1897,30.0856,32.5087,36.2005,39.059,39.7094,42.9063
Coprox,14.4023,14.4023,39.6382,39.6382,38.4472,38.4472,27.7051,27.7051,26.9558,26.9558,30.1016,30.1016
smt3,25.6897,185.311,147.744,261.308,47.8101,179.959,72.9606,225.723,114.416,301.926,213.29,392.264
snRNP70K,30.4197,36.2067,23.9322,28.321,19.9109,23.4668,14.0472,16.5326,20.105,23.7125,21.1895,25.2778
SP1070,30.6079,30.1924,87.4571,86.8492,34.6697,34.1697,13.3353,13.1873,28.6124,28.4251,32.1999,32.0169
ade3,34.5886,36.256,17.7169,19.0828,27.2973,29.3843,31.7854,32.2738,129.24,130.686,156.045,157.785
CG31908,36.5853,37.3101,26.7797,26.2399,30.6199,29.6828,22.7754,22.9698,37.7626,36.8862,44.2133,44.0611
CG11266,51.8845,54.4039,34.2789,35.0785,31.1725,33.3903,42.2188,43.3151,60.0199,64.7774,58.334,60.0934
