gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_523813,342.928,334.234,367.169
NP_523774,416.508,497.634,453.697
NP_001286260,28.5903,12.1198,20.4568
NP_524002,505.927,515.793,505.131
NP_608387,21.8461,40.5748,17.26
NP_001262025,233.814,318.901,350.748
NP_001285145,23.3859,22.3645,32.4693
NP_610610,25.307,18.5428,23.4598
NP_725114,452.48,410.952,425.801
NP_001303417,14.5719,11.6533,15.4125
NP_001036440,649.858,688.946,666.452
NP_524819,333.48,313.447,325.941
NP_001260537,580.318,531.659,605.963
NP_001286614,526.278,490.553,530.931
NP_649560,443.834,474.27,449.374
6XU6_CM,349.421,356.658,364.302
NP_001286770,161.085,108.279,205.748
ACJ13227,410.224,484.45,487.957
NP_651782,507.37,443.051,486.681
NP_001163336,479.989,553.602,548.964
NP_001247264,93.9513,49.3105,91.8429
NP_001284750,462.306,447.211,439.586
NP_001259991,25.4175,15.1756,29.1215
NP_001261501,327.883,394.268,413.347
AAL39439,18.2295,16.4287,19.1927
AAY85097,16.7233,14.923,16.462
NP_647950,16.5983,16.5648,16.3468
NP_001104459,22.4712,18.0043,23.4245
CAA61806,329.069,283.404,321.574
NP_732312,42.8322,39.574,43.5054
NP_524726,193.519,244.869,197.601
NP_524421,394.617,290.066,403.954
NP_001104426,26.326,16.5014,20.5922
NP_001262233,428.733,501.984,457.71
NP_001303431,516.667,654.805,520.369
NP_729654,19.87,10.795,22.0391
NP_001284785,223.355,209.347,248.119
ACT88135,558.347,697.985,648.125
NP_511073,301.079,411.677,385.385
NP_001284805,10.934,12.3653,18.1356
NP_610503,539.503,508.371,532.209
NP_476985,218.218,111.151,216.226
NP_001034051,15.9537,13.8977,19.2102
NP_001188689,269.683,297.727,280.18
NP_609222,23.1156,16.0148,21.5437
NP_001262202,338.775,341.899,474.499
CAA48872,267.185,192.659,277.312
NP_001033885,396.032,377.01,410.951
NP_001247362,571.463,685.453,699.323
NP_001259397,75.4726,56.6627,81.2296
NP_001245533,60.1762,59.6018,56.8603
NP_477136,11.357,12.5321,15.4885
NP_724333,104.732,87.5757,94.741
NP_001259956,26.7451,16.402,39.7724
NP_648409,45.8619,23.6972,47.2672
ABG02165,37.3126,18.7034,38.287
NP_001245895,19.5491,13.2684,16.4969
NP_648910,16.1158,11.6903,17.8809
NP_001262647,15.1192,20.3957,15.2995
NP_001259822,428.23,419.643,516.048
NP_001261698,14.7385,11.767,11.4751
NP_001287055,373.413,383.667,393.721
NP_001036353,30.0401,19.7571,33.7649
NP_610294,26.3645,23.9252,23.6126
NP_477135,13.5767,10.1517,12.4223
NP_730672,47.5224,31.6903,39.6637
AAN71367,296.096,374.293,295.937
NP_001097399,53.668,29.9663,62.9111
NP_609183,13.4583,14.7656,11.9897
NP_650498,13.7452,17.9775,16.1298
NP_001247382,188.294,101.04,194.739
NP_477101,30.9385,25.0258,31.0162
NP_732610,53.2606,41.3819,45.0231
NP_611539,11.3703,11.2793,12.3422
NP_001246062,12.4172,11.259,11.779
NP_001285895,220.564,244.477,262.584
NP_649940,10.3873,12.4214,11.5328
NP_001189044,51.2175,20.346,45.8991
NP_001286731,508.76,481.286,499.869
NP_610057,29.7078,24.9869,28.6472
NP_001027048,41.2833,24.128,37.7243
NP_001285259,39.2695,17.9819,37.878
ACH92188,277.029,283.747,291.777
NP_001285378,25.61,12.1578,25.323
NP_001303388,18.9819,15.6183,23.091
6XU6_CX,374.618,475.107,442.43
