	NP_001163784	NP_609202
NP_649210	-0.9780013498283442	-0.8907634087963006
NP_650063	0.8785809033199651	0.7251487126837511
NP_001286321	-0.9987861186617583	-0.9520556751099822
NP_722721	0.5554217143026956	0.32142850937844974
NP_610604	-0.4966381597102027	-0.2552331586940938
NP_001259531	-0.9096228407612336	-0.7712120346907727
AAL48038	-0.4141597467895582	-0.6354968157915816
AET07646	0.9930927972748159	0.9289481906378974
NP_001162901	0.9898786764821965	0.9928998760112968
NP_001260098	0.9902050344989847	0.9203933986955332
NP_511096	0.909742182540729	0.771394929877806
NP_659573	-0.5252188331978277	-0.7274543475259685
NP_523767	0.9845121802638017	0.9963551732238112
NP_001246637	0.9453552191917044	0.8288505592079087
NP_730632	-0.8852024190661862	-0.7347490110533474
NP_001261383	0.7896840727629413	0.921500409332142
NP_476778	-0.3599412577116001	-0.10637096158110931
AAA29000	0.10639787588282164	-0.15441240187248925
NP_001286247	-0.9692725479049122	-0.8726602582493375
NP_723510	0.9965814660212747	0.9412976186578393
NP_477385	-0.9523871708808709	-0.8411140591278857
NP_001246465	0.9372442768961005	0.8151618939453512
NP_477310	0.16580012072358785	0.41523549322271897
6XU6_CB	-0.42637780232883415	-0.6458353257206041
NP_001287386	0.9187572936816738	0.9896150582738649
NP_001303317	0.9636248265970739	0.86170324552287
AAM11288	-0.9373831314180127	-0.9955735542620997
NP_001245823	-0.526604710128551	-0.28879628806931684
NP_729234	-0.47379773174531103	-0.22989126341734634
NP_722959	-0.9515091151431172	-0.8395599306224377
ACT88125	0.6228548777039563	0.3993009470228055
CAA40804	0.8192224084836596	0.6430095274943122
NP_729380	0.7433167040842666	0.5449945375693922
NP_001263095	0.9233997268368994	0.9912586541884213
ACY40036	0.8910631279614746	0.9781387957145153
NP_001097695	-0.6807886187830945	-0.4681591632123939
NP_651455	-0.9990311687277993	-0.9764162513096688
NP_511055	0.9293844341221938	0.8022826203792757
AAA28509	0.9590350006354952	0.8531236066861738
NP_001246877	0.9037162787182392	0.7622223537280911
NP_611175	0.9911816854233425	0.9231761294336339
NP_523830	-0.959793312126924	-0.8545234314124108
NP_651400	0.4527043350584437	0.6679332706891845
AEB39622	0.9676224309856747	0.869407566595339
NP_649785	-0.8917787272087225	-0.9784659500490435
NP_001246778	0.9233609061573486	0.9912453073525548
NP_001285404	0.9804931988529207	0.8962861314618218
NP_001285979	0.6731987779801263	0.8415566030657626
NP_647775	0.9565938557721587	0.8486608855888194
NP_726358	-0.9999084451697959	-0.9693806316797695
NP_608375	0.9920635347708195	0.9908256628489543
NP_477332	-0.9487879180704435	-0.8347862434069775
NP_001137999	0.9685718046509645	0.9999473741204716
NP_726775	-0.9991815104272918	-0.9547153658640146
NP_001096945	-0.6561503981210043	-0.8290118657428432
NP_524463	-0.9496150952670541	-0.8362306760466207
NP_608531	-0.977077807022878	-0.8887632211785683
NP_001259537	-0.9721553520477616	-0.9996851241471613
NP_651885	0.4715653207920137	0.6836099088808464
NP_001286053	0.47706617167987353	0.6881569623377377
NP_001036276	0.6682589705508389	0.8379403674961579
NP_730669	0.9817617712600668	0.8991766990870418
NP_001163784	1.0	0.9659690463001166
NP_609151	-0.9012899561715634	-0.9826729432823518
NP_652032	-0.8570359955790565	-0.6945951758430987
NP_001014515	-0.9840481382919414	-0.9045442192338925
NP_536731	0.9729423892991025	0.8800699293467793
BAA34397	-0.9360515891309915	-0.9952088777907212
NP_649069	-0.9751949059161493	-0.9992614316931296
ABG02147	0.9985562004840871	0.9506800693081296
NP_573128	-0.5904172587714821	-0.36156264584305964
NP_001286142	0.6543061929560828	0.8276441659484318
NP_572320	-0.7613181965182458	-0.903117883441075
NP_001260128	0.8363186031269321	0.9496653428297639
NP_652145	0.5526508270996695	0.31827493503871956
NP_001162682	0.29443752876152385	0.5316091237699689
NP_524938	0.8242859956638822	0.6497895886255354
ABV69001	-0.7487898310549311	-0.8947480584585447
NP_609299	0.961643680158195	0.9998682778303442
NP_477378	0.9886006350823128	0.9939015190729147
NP_788518	-0.4213858557954969	-0.6416175554057919
NP_001262294	0.99821648582355	0.9488048880954735
ACX30015	-0.9911970931625201	-0.9232208365457406
NP_648553	-0.9548532992150374	-0.8455172911339378
NP_610470	0.6014599325705413	0.37434928012888463
NP_001188958	0.7844051455683398	0.9181432120898076
NP_726025	0.4197627643325628	0.17071135810215693
NP_648904	0.3622369029339936	0.591000865016734
NP_725103	-0.9700613495064395	-0.9998668429464768
NP_001163479	0.920812741841906	0.788598814765135
NP_609305	-0.962981242252533	-0.8604841297260264
NP_001260510	0.8389837074067773	0.6696820173382274
NP_001262996	-0.309456118121803	-0.05296388216444512
NP_730171	-0.9780274614896036	-0.8908203071969655
NP_648776	-0.9506769168719185	-0.8380932949706091
NP_001259998	0.8276740038287858	0.9446685392336205
NP_573076	0.28975369942891943	0.5274547037317324
NP_001259742	0.9517292719023704	0.9987330843833543
NP_001285398	0.7971418866512106	0.6138389357649643
NP_647865	0.8643305480929921	0.9650017558462454
NP_001260930	-0.9988454030773976	-0.9524277743351798
NP_001287413	0.5363771112644424	0.29982217324561217
NP_001285915	0.575164158895855	0.3439989497500624
NP_610111	0.05020769829786951	0.3068305548165741
AFY04291	0.949163589186602	0.998283750375916
NP_523528	0.9328274634355139	0.9942828637521633
AAM11013	0.3491918043968047	0.09493295540245474
NP_650055	-0.9576192752454491	-0.850527587790606
NP_649258	-0.7738189361305546	-0.5836495825143109
NP_001262259	-0.9213590216401003	-0.789460768924675
AAR82755	0.9081859177230005	0.7690139090153414
