	AAO41419	NP_610117	NP_001285543	NP_477153	AAM29197	NP_001259808	AAN71357	NP_001246992	NP_001287347
ABY21735	-0.9348496132686323	-0.10246702948196112	-0.090470377691689	-0.34576024474547895	0.9991082791574335	-0.6336513381962701	0.09250006667433128	0.5873481050070635	-0.9437030336304683
ABE69190	-0.9956417280539225	0.346380751425701	-0.5200860496880345	0.10312489979539201	0.9154693680259184	-0.9097250561349763	0.5218258544966523	0.1705825434812009	-0.9929025697536947
NP_649210	-0.22623089286327863	0.999484602532677	-0.9747162250268047	0.9762682603559525	-0.09238867127020353	-0.6814761654614729	0.9742587640365251	-0.8809057825963152	-0.20101123258882855
NP_726062	0.920804179563301	-0.6138851048218881	0.7540550852131844	-0.39913308451680685	-0.7508910431288625	0.9926990056153404	-0.7553922546966821	0.1354243510782935	0.9104294201135836
NP_610167	-0.8885387534633127	0.672039741630158	-0.8017402609309432	0.46758625524873554	0.6985887371818416	-0.9989910269789889	0.8029567930404204	-0.21024811911739977	-0.8763993853174272
NP_001286886	0.6192055676042335	0.5994004391079742	-0.43452464831274423	0.7790527678087824	-0.8351787380985086	0.1456394462114949	0.43268798872963093	-0.9199225723877247	0.6392687585332236
NP_650063	0.493386083283275	-0.9674954670606086	0.9980523138851246	-0.8746581503177953	-0.19401302135659623	0.8611612333403638	-0.998177390987406	0.7103537881106254	0.4707688030327857
NP_648971	0.5786289813432175	0.6391832461773002	-0.4795960726326244	0.8098154385544182	-0.8062431091248108	0.095330389015198	0.47780654649138377	-0.938605904878797	0.5994894427130735
NP_608579	0.6448157229843429	0.5726217706126162	-0.4045245103338095	0.7579090890424501	-0.8528969583695369	0.17825313341474527	0.4026596484175513	-0.9064629831108819	0.6643311133648401
NP_649973	0.2960724705034258	-0.9991895044126123	0.9883217914837216	-0.9580532346788376	0.020147619610906796	0.7326105289013268	-0.9880091497372385	0.8443768541318537	0.2713176252465874
NP_648780	-0.8813117000335953	0.6834507210871656	-0.810918876962783	0.48124775474122533	0.6874005418822314	-0.9995676775500693	0.8121098834779146	-0.2253947297604781	-0.8688202221180736
NP_650565	0.09245893825544707	-0.9859674899698545	0.93555674722521	-0.9965840388139287	0.22616215285601704	0.5762742557682371	-0.9348349472285853	0.9368066326221056	0.06672517732814301
