	NP_001286321	NP_001259822	AAN71367
NP_649210	0.9870891901685382	-0.5413046696376924	0.9994244493139934
NP_650063	-0.9010394156655903	0.75768586039619	-0.9679546581436086
NP_001286321	1.0	-0.399639485584145	0.9810875698288581
NP_722721	-0.5957083974454235	0.9743405879467856	-0.7399131895216983
NP_610604	0.5387886185157548	-0.9875636087137876	0.6916654088471254
NP_001259531	0.9289819077640366	-0.7105413454171289	0.9830556550820827
AAL48038	0.36882273426442447	0.7046506377896651	0.18192932996654804
AET07646	-0.9976667455377167	0.4612900751646399	-0.9920134705813991
NP_001162901	-0.9816866618362095	0.2176921397386493	-0.9262460291195603
NP_001260098	-0.9958804012964644	0.48111376902562536	-0.9945976244276196
NP_511096	-0.9290882284935094	0.7103391137891508	-0.983108289653203
NP_659573	0.48266486779690654	0.6099344472799259	0.30401180007432205
NP_523767	-0.9746814836108076	0.18455521551080364	-0.9129672994622604
NP_001246637	-0.9602676531280012	0.6395864403345801	-0.9961267479203831
NP_730632	0.9070427185012157	-0.7484445521783911	0.9713864250351206
NP_001261383	-0.758505414308802	-0.29423619585034627	-0.6180207469370396
NP_476778	0.4054602312758851	-0.9999797833995973	0.5747316743474937
AAA29000	-0.15524649545276364	0.9676010733591673	-0.34352799516033505
NP_001286247	0.9802127529000126	-0.5731841419980213	0.9999900144117785
NP_723510	-0.9994411752982009	0.43005739224851863	-0.9870095125671384
NP_477385	0.9662492292447364	-0.6222944577378703	0.9978390532469623
NP_001246465	-0.9532813124059802	0.6578809118553717	-0.9937251558329847
NP_477310	-0.11702323496180433	-0.863606996907082	0.07742442076347417
6XU6_CB	0.38130470786692905	0.6950328423499265	0.19515280490831619
NP_001287386	-0.8981940964270639	-0.044014529889586394	-0.7961163242157284
NP_001303317	-0.975619561124606	0.591076918561322	-0.9996495365493228
AAM11288	0.9190889169633336	-0.006089277990198399	0.8254326173895538
NP_001245823	0.5678396766187206	-0.9814801161675071	0.7164308961262685
NP_729234	0.516600303381649	-0.9913332412243404	0.6725651471585022
NP_722959	0.9655066774073054	-0.6245361863268927	0.9976465702766917
ACT88125	-0.6606346936903391	0.9521685829535012	-0.7934507461113566
CAA40804	-0.8464758897913954	0.8263463725803525	-0.933525901564991
NP_729380	-0.7753646190141538	0.8887576059417965	-0.882939189391896
NP_001263095	-0.9033718905371404	-0.03209925896653917	-0.803275277784913
ACY40036	-0.8676245748555318	-0.10905068893073849	-0.7549716159154727
NP_001097695	0.7160422623811176	-0.9260482805843363	0.8376191401436675
NP_651455	0.9956507336910136	-0.3125000587890103	0.9587872352112943
NP_511055	-0.9464378209543352	0.6742147236537247	-0.9910376440317724
AAA28509	-0.9718248502815217	0.6044430984856983	-0.999069220860402
NP_001246877	-0.9237079266245968	0.7203250300906178	-0.9803923989094597
NP_611175	-0.996505597223048	0.47480897392663707	-0.9938269178529222
NP_523830	0.972455160582229	-0.6022986736004405	0.9991816035080505
NP_651400	-0.408233939164674	-0.6736630635944217	-0.2238126793546051
AEB39622	-0.9788805185877366	0.5785975715843792	-0.9999384992285458
NP_649785	0.8684086412422489	0.10748089402144516	0.7560061657149486
NP_001246778	-0.9033285174638579	-0.032200332119728094	-0.8032150425685345
NP_001285404	-0.9889846822883043	0.5309212511078324	-0.9989315754984132
NP_001285979	-0.6359576576412544	-0.4532642527269167	-0.4745518624275797
NP_647775	-0.9697874670186648	0.6111888473203512	-0.9986667311233126
NP_726358	0.9980281491639091	-0.34131382413345707	0.9670033735479037
NP_608375	-0.984665783230005	0.23359653276927678	-0.9322757758428402
NP_477332	0.9631972838897813	-0.631329033446182	0.9970101142778586
NP_001137999	-0.9551440834608393	0.11024856449672293	-0.8797575360082496
NP_726775	0.9999611485069849	-0.3915436347276779	0.9793432130247924
NP_001096945	0.6181828080283731	0.47348574115253655	0.45434319260976674
NP_524463	0.9639005495279961	-0.6292882237668187	0.9972097953304351
NP_608531	0.9863777840472902	-0.5449842663155315	0.9995635147145921
NP_001259537	0.9594324299871013	-0.1249816888213055	0.88671393965836
NP_651885	-0.4275562080322207	-0.6577932049958947	-0.24449003012217765
NP_001286053	-0.4331963683749506	-0.6530740582186106	-0.25054405485924097
NP_001036276	-0.6308038059293347	-0.45919084109607794	-0.4686789473309459
NP_730669	-0.9899346095706891	0.52534948256783	-0.9986068412315064
NP_001163784	-0.9987861186617583	0.35400149306527595	-0.9703621709219916
NP_609151	0.8788567956168704	0.08610538293179956	0.7698886729667525
NP_652032	0.8813758411267932	-0.7852830514603427	0.9561497544978554
NP_001014515	0.9916166258377356	-0.514736808573221	0.9978741341208468
NP_536731	-0.9831421634934363	0.5605093681421566	-0.9999404127831815
BAA34397	0.9175834955837452	-0.002285796019255948	0.8232795637125276
NP_649069	0.963108117812121	-0.13820596201935745	0.8928023636187369
ABG02147	-0.9999900295162505	0.4037289198225986	-0.981942153632712
NP_573128	0.6294561010864984	-0.9638430065028137	0.7679580793381106
NP_001286142	-0.6162620500827751	-0.47563459742965347	-0.4521670972548048
NP_572320	0.7284566253598309	0.3368848248420527	0.58207032701438
NP_001260128	-0.8082983633029004	-0.21668410039803981	-0.6790459611880814
NP_652145	-0.5930317078559323	0.9750843473776108	-0.7376700547558895
NP_001162682	-0.24700628336691538	-0.7895548093731561	-0.05476819591185418
NP_524938	-0.8511736388848066	0.8213094638181008	-0.9366747791087483
ABV69001	0.7152327300290444	0.3548145923335194	0.5664264162411782
NP_609299	-0.9469649757698907	0.0838840276403708	-0.8668562004115932
NP_477378	-0.979984323570982	0.20915417318551896	-0.9229166670493063
NP_788518	0.3762037421829373	0.6989849881197939	0.1897442357097173
NP_001262294	-0.9999453347827562	0.40920234430705515	-0.9830578433877597
ACX30015	0.9965153067918945	-0.4747065928176994	0.9938140056409727
NP_648553	0.9683274902412502	-0.6158599116734094	0.9983439115691162
NP_610470	-0.6400816960136402	0.9600876047482273	-0.7766930576184131
NP_001188958	-0.752901142203159	-0.3024039029350128	-0.611270705684499
NP_726025	-0.46396088512100714	0.9974565439851062	-0.626656389432444
NP_648904	-0.3158850759792829	-0.7434962910532658	-0.12625750232308522
NP_725103	0.9569211637518568	-0.11626960277981346	0.8826224450302301
NP_001163479	-0.9389056073236028	0.690719249304836	-0.987768603133669
NP_609305	0.9750905299816566	-0.5930092656245735	0.9995831885757872
NP_001260510	-0.8647690044070231	0.8059210894895343	-0.9456163331699623
NP_001262996	0.3559199907282737	-0.9988850980882436	0.5300777992133409
NP_730171	0.9871092380515178	-0.5411993826741334	0.9994201938659549
NP_648776	0.9648017013650187	-0.6266379621814029	0.9974582291138087
NP_001259998	-0.799025613776634	-0.2318701660031018	-0.6675244015764193
NP_573076	-0.24225767615344854	-0.7925507752188572	-0.04987749327991233
NP_001259742	-0.935454988099433	0.0498507007837514	-0.8493487249825111
NP_001285398	-0.8259154623975735	0.8468828066504175	-0.9194258417725805
NP_647865	-0.8385086288695373	-0.16438292309011113	-0.7171794078413484
NP_001260930	0.9999992574821835	-0.39852211338772425	0.980850959864151
NP_001287413	-0.5772981767536903	0.9792047868043038	-0.7244318726619292
NP_001285915	-0.6147603844829364	0.9686748154303775	-0.7558007179299884
NP_610111	-0.0009514988085723977	-0.9162917245364776	0.1926308174552183
AFY04291	-0.93250602112287	0.041605932123717326	-0.8449634228767802
NP_523528	-0.9139465380954082	-0.006768254147418477	-0.8181064529194056
AAM11013	-0.3949246144930198	0.9999868018827506	-0.5652858713850922
NP_650055	0.9706447869990734	-0.6083837928936	0.9988431748579345
NP_649258	0.8040795722788295	-0.8663235698772638	0.9039507131730643
