gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_788735,0.495603,1.34652,0.477939
NP_524494,6.30777,4.32898,6.20735
NP_001163501,0.159577,0.482346,0.269831
NP_001303457,7.24567,9.27275,7.47939
NP_001036448,1.58899,0.380045,0.706057
NP_001285224,1.61657,1.79354,1.72484
NP_001162682,21.036,15.8139,11.5245
AKD43121,0,0.396253,0.644695
NP_001260457,7.19699,5.78345,6.15859
NP_001285048,2.31331,2.40808,1.91686
NP_524938,12.1512,10.4735,13.0812
NP_572354,3.21346,2.63942,1.98872
NP_001261118,0.382321,0.225307,0.604007
NP_001259362,1.06123,1.05645,1.00972
NP_524785,0,0.127127,0.059803
NP_788494,1.9288,1.65479,2.03013
NP_001259908,2.10687,3.5709,2.77069
NP_001259707,1.43609,1.73493,1.75812
NP_001261745,0.661679,1.47783,1.16803
NP_001262496,3.53888,4.37347,4.3297
NP_001260530,4.34663,3.7127,4.80754
NP_523388,0.736961,1.62091,1.20686
NP_001262397,2.21974,1.98351,1.93036
AAF34698,1.87445,1.78888,3.65296
NP_523734,0,0.0646159,0.128247
ABV69001,37.4592,54.7129,53.1804
NP_001262696,1.94932,2.12034,1.67053
NP_001259576,0.744743,1.09661,0.676599
NP_001285302,0.258878,0.304782,0.0593502
NP_001246323,2.0184,1.21392,2.45651
NP_648783,0.739536,0.657272,0.553157
NP_001188977,0.778238,1.28109,0.559048
NP_726351,0.0872974,0.170928,0.127341
NP_609299,80.3594,34.3991,57.5155
NP_477118,1.27929,1.4925,1.24581
NP_477040,1.2885,1.07077,0.700215
NP_728876,0.748214,0.747776,0.540231
AAA85120,0,0.281323,0.183271
NP_477378,72.3431,28.736,55.4826
NP_648090,4.02487,3.24722,3.20451
NP_001303455,1.93553,2.338,1.94446
NP_001303316,5.35738,5.08733,4.34762
NP_477448,8.78911,11.1081,7.96592
NP_788518,10.3854,12.813,14.0144
NP_730427,2.87363,2.98489,3.01336
NP_001097501,2.61107,2.88532,2.48072
NP_001286076,6.92777,5.68833,6.64807
NP_001245748,0.341588,0.344566,0.441678
NP_732013,8.88052,12.1448,8.25511
NP_001262294,19.824,15.8673,19.0617
AAF00577,2.5766,3.06123,2.84252
NP_651365,7.88615,23.4929,6.43127
NP_572236,0.213058,0.0804575,0.496037
AAC72898,4.18312,3.77845,2.39979
ACX30015,1288.78,4490.81,1671.1
NP_001162897,7.46812,6.35772,6.36358
NP_648553,29.1396,47.5721,27.8307
NP_649835,5.40359,5.88161,5.90476
NP_001259552,2.05082,3.31755,2.08361
NP_476932,2.30278,3.17808,2.282
NP_511147,0.664292,0.635417,0.553294
NP_724277,0.839724,0.599924,0.528456
NP_001246081,1.48001,0.93902,1.4425
AAV36836,1.71271,1.89732,1.71934
NP_001261472,2.76782,1.67932,1.83785
NP_788056,1.93235,2.44603,2.3651
NP_649868,1.6981,1.28505,1.41471
NP_001286055,1.1022,1.2639,1.33908
NP_611531,0.479482,0.597256,0.326358
NP_732900,4.10039,3.22716,4.51793
NP_610545,3.41526,2.48842,2.23762
ACX47666,0.891172,1.15894,1.05272
NP_728162,2.67871,1.99745,2.33276
NP_572826,5.70843,5.31697,6.09812
AAV36855,0.419703,0.345489,0.331752
AAL68379,3.74029,5.66662,4.08482
NP_001033857,3.3955,3.71182,3.2532
AAB18341,1.88276,2.61834,2.30572
NP_729220,0.424915,0,0.2213
NP_001163304,0.708959,0.904078,0.815322
NP_610470,116.902,108.232,132.273
AAG44910,4.91151,4.84972,6.23137
AAF18436,4.56466,4.00246,4.55077
AAM50251,1.48499,1.1628,1.18085
NP_611968,7.24614,11.3852,5.94699
AAM49824,4.74091,4.44126,4.93543
NP_001097372,2.57794,2.60707,4.36812
NP_001287306,0,0,0.575517
NP_476946,2.53012,1.97565,2.37136
NP_996404,1.93826,2.04759,1.90992
NP_608573,1.45624,1.22856,1.92985
CAK95921,0.0248834,0.112235,0
NP_650694,2.62416,2.39068,3.83194
ABW87508,1.42997,1.24549,1.54489
AFX62870,0.656855,0.223687,0.605429
NP_723700,1.49695,1.6081,1.59888
AAF24767,0.420318,0.360614,0.46116
NP_650840,5.43926,4.53321,6.42354
NP_612093,4.83806,4.2347,4.1038
NP_651750,3.87399,5.53469,3.88211
NP_001097943,8.21272,7.3483,8.05914
NP_652607,0.878064,0.751161,0.69955
NP_001286788,3.20302,2.33592,2.14394
NP_001262361,1.11265,0.926269,1.35022
NP_001247392,5.11375,3.85151,4.87278
NP_524330,0.523086,0.478076,0.532915
NP_001188958,30.9178,17.2313,19.2332
NP_001369025,4.6409,2.85301,3.66199
NP_001284829,2.29005,3.00607,4.91938
Q9GYV5,7.54743,14.0483,9.09136
NP_524493,8.18897,5.84268,7.20354
NP_001262400,1.06091,1.01958,1.05692
NP_001262599,1.88471,1.48235,1.96497
NP_001259548,2.02931,1.35023,1.66346
NP_524332,8.2279,9.55839,10.3471
NP_001097638,0.26018,0.225304,0.497931
ABY21744,4.79505,5.28399,4.50865
Q8MKW7,0.754062,0.653516,1.03368
NP_610117,0,0.402682,2.93E-05
NP_610953,1.06537,1.1733,1.12302
NP_001163558,37.3639,9.72902,25.174
NP_523790,1.06149,0.968603,1.1988
NP_609709,2.20807,1.89998,2.1363
NP_726025,17.8327,17.2745,20.7116
NP_001014665,9.63693,6.17517,10.9173
NP_611207,2.18304,3.57026,2.20147
NP_609877,2.28759,2.87846,1.7275
NP_611351,4.19504,4.39084,3.65347
NP_648904,14.6043,12.7242,11.5311
NP_572217,1.46103,1.56506,0.888467
NP_001259129,2.1059,2.47079,2.28075
NP_523451,1.18672,1.11307,1.05627
NP_648945,0.471008,0.257521,0.251267
AAA28721,0.536513,0.743504,0.315786
AAM48343,1.41123,1.44494,1.52735
NP_001260310,2.06378,1.95991,2.24044
NP_524274,7.36248,8.66205,8.0877
NP_725103,109.261,158.11,132.163
NP_001261351,7.60757,10.2461,8.40836
NP_001262947,0.483407,0.858472,0.66721
NP_723538,2.53816,2.464,2.33308
NP_001163479,81.4184,56.3412,86.5111
AAK93519,4.16676,3.95556,3.40793
NP_610501,5.61702,4.11637,5.29658
NP_609305,27.9685,56.1252,26.9543
NP_728811,4.21942,5.12324,4.89904
NP_611966,0.602056,0.429255,0.545631
NP_648408,3.53062,3.37441,3.2205
NP_651659,3.14117,4.06183,3.37072
NP_524905,1.90049,2.0596,1.94311
NP_648669,1.1863,1.271,1.13165
NP_001260510,87.8148,80.916,91.2586
NP_001262996,20.58,20.8813,12.9058
NP_001036766,8.24445,6.82575,7.489
NP_611306,1.15256,0.620038,0.894132
NP_610807,1.29531,1.13683,1.62663
AAL13786,6.84518,12.2921,7.11192
NP_001163430,2.23363,2.05264,1.79862
NP_523926,2.31617,2.631,2.18238
NP_730171,18.3142,45.8471,19.3225
NP_477420,0.177106,0.200831,0.565158
NP_648776,11.9927,13.5257,11.8574
NP_001262542,0.796144,0.781916,0.87177
NP_611463,1.52324,1.06677,0.993384
NP_648222,2.49185,2.66899,3.11323
7DXI_A,3.18542,2.11195,2.74512
NP_609060,3.57655,3.05336,3.38077
NP_001259998,16.0874,12.0036,12.8948
NP_001247287,1.5219,0.647662,0.942937
7JGR_D,0.392469,0.275497,0.164948
AAS93725,0.532079,0.870743,0.597776
NP_001285077,1.77402,1.52453,1.52853
NP_611121,2.86261,3.17355,3.13988
NP_573076,24.2731,22.7468,21.4714
NP_001259742,60.0533,47.0197,53.19
NP_612019,0.250674,0.218439,0.309543
NP_476586,2.09232,2.76335,2.23855
NP_001285398,24.0364,19.0051,27.3576
Q9VP61,2.15884,0.882039,2.65906
NP_001287471,1.83157,1.10403,0.835091
NP_725809,0.526014,0.60343,0.974243
NP_001286069,1.39905,1.42061,1.23546
NP_001261782,3.38085,3.6552,3.13953
NP_611363,1.39786,1.10692,1.31645
2VHH_A,5.99321,4.3968,4.81941
NP_650583,2.76273,3.15895,2.72155
NP_647865,16.1105,10.5345,12.1116
NP_733209,1.13005,1.2661,1.22255
NP_609533,4.83421,5.60928,5.58265
NP_001287339,5.98865,6.2527,5.42694
NP_524651,1.93888,1.55587,1.81053
NP_730435,0.383204,0.199364,0.244274
NP_001260930,34.2508,45.346,36.5142
NP_001096883,2.0713,2.31834,1.8586
NP_611535,1.51673,1.58667,1.62473
NP_731192,3.21858,3.45643,3.09716
ADV19030,4.644,3.66243,5.145
NP_524246,5.19422,10.6534,6.00836
NP_001189074,0.155412,0.496581,0.180019
NP_523791,9.60556,14.0638,11.1861
NP_648171,4.85412,6.07478,5.68671
NP_651340,4.06806,4.48526,4.25435
NP_730600,0.798731,0.632606,0.666391
NP_611600,5.51104,3.16657,5.35129
NP_001036548,0.624257,0.67452,0.60279
NP_732623,0.623707,0.296072,0.24698
NP_650948,1.76924,1.79552,1.97172
ACI97143,1.26795,1.03527,1.36492
NP_731967,2.63005,2.92364,3.32344
AAF14115,5.06239,6.1574,4.47913
NP_476594,11.0864,7.39171,9.26205
NP_001260333,7.71272,8.31445,6.97946
NP_476980,1.31553,1.65318,1.4602
NP_722831,2.15769,5.29451,2.20235
NP_524182,0.0564555,0.129993,0.0860733
NP_001287413,10.434,10.1829,11.0511
NP_650918,7.27452,19.9315,12.6161
NP_001260276,12.4193,8.85927,8.82523
AAT94509,2.64869,2.92725,2.92216
NP_648586,1.00645,0.985968,0.915415
NP_524295,0.598051,0.602055,0.536775
NP_611884,1.82113,2.03897,1.87543
NP_995869,2.04205,2.32265,1.99839
NP_611302,3.32274,2.45504,3.62725
NP_649305,7.88792,6.58469,6.96477
NP_650257,2.69626,2.2374,2.35162
NP_001285915,350.758,284.811,483.7
NP_610111,147.532,138.295,119.674
NP_001246321,2.36272,3.16786,2.14329
AFY04291,15.3378,11.5487,13.3154
NP_001259213,1.59768,1.68102,1.54119
NP_477030,2.19326,2.02342,2.04435
NP_523528,207.357,58.8751,121.858
AHL21638,1.48846,1.6314,1.51942
AAR82776,4.42681,4.01463,4.61885
NP_650530,0.673697,0.702855,0.698454
NP_996246,0.640732,0.495063,0.736508
NP_650898,10.7884,7.81341,11.2362
NP_001137988,3.68986,5.27573,4.10559
NP_611608,1.09726,0.687221,0.898429
AGW30431,1.83315,2.91724,3.10713
NP_649847,1.17859,1.11758,1.22211
NP_001245409,5.40392,2.41436,3.97897
NP_001285190,2.71802,4.40259,2.16558
NP_609237,1.67252,1.53407,1.45869
NP_611439,0.556861,0.633098,0.429681
NP_001261999,0.636959,0.474726,0.416962
NP_572162,1.31197,1.54298,1.78133
AAO41438,10.37,6.62143,8.23859
NP_610854,2.46795,1.26352,2.33456
AAM48442,4.19933,5.82653,4.71215
AAM11013,16.8314,16.6053,19.3096
NP_609105,0.270246,0.131024,0.395907
NP_649909,2.92688,3.5717,3.41549
NP_524471,1.22998,4.95574,2.98306
NP_001189282,15.2987,3.28872,9.17115
NP_648588,9.79294,8.38419,6.09832
NP_609632,1.25875,1.25098,1.31657
AAN71363,4.057,3.83485,2.12169
NP_001287483,0.250904,0,0.219014
NP_523756,1.85897,1.13567,1.20222
NP_651288,1.92546,2.6225,1.78037
NP_609075,30.4618,6.2803,18.3024
NP_524780,12.495,9.52082,12.937
ACD99578,1.47232,2.1731,2.0136
CAA71871,1.9475,1.78401,1.05776
NP_650055,15.8642,22.9864,15.4416
NP_001263013,3.33991,3.47712,3.2343
AAK92994,1.1316,1.33236,1.11507
NP_001163309,1.52111,1.7083,1.94232
NP_001097041,0.084035,0.111389,0.209767
NP_610333,9.57502,10.3683,11.5871
NP_608804,0.116261,0.457047,0.568886
NP_649258,11.7989,12.564,11.2203
NP_001286125,4.78885,4.34397,4.03875
1HX8_A,2.76069,2.20295,2.37576
NP_001287067,6.14185,16.5671,5.95398
NP_001262259,27.9188,59.1944,21.6303
NP_727320,7.05166,12.447,7.76098
NP_001014479,1.5522,1.45704,1.71939
CAL26006,6.8463,6.00891,5.41894
NP_001286906,0.738755,0.790099,0.96562
NP_524219,3.16015,3.08085,3.31801
NP_001259979,1.72958,1.99085,1.87039
NP_609446,0.968153,0.921413,1.28937
AAR82755,21.5803,12.5896,23.8202
NP_524836,16.2489,12.6625,16.5178
NP_608608,3.59354,2.84626,2.48424
NP_001287215,6.37312,5.43446,6.44071
NP_476593,1.42355,1.38348,1.50255
NP_649412,0.75312,0.547325,0.373591
NP_788084,2.52538,1.83844,2.54871
NP_649890,0.90692,0.441778,0.424798
NP_525117,1.35341,1.37394,1.83195
AAQ22397,2.07031,2.71272,2.30358
NP_001261391,8.27179,3.36001,11.3995
CAL26357,8.01552,7.62333,7.54252
NP_477123,1.726,1.68188,1.6239
NP_001245829,0.363918,0.296579,0.195358
NP_001137769,15.2755,12.2391,12.6925
NP_001260059,3.25166,3.1486,3.02065
NP_611087,6.11873,3.97153,6.97102
NP_001286545,32.3884,54.078,29.9632
AAO39559,1.11903,1.20739,1.6815
NP_001259575,0.573439,0.504251,0.501167
NP_001163476,4.34015,3.82417,4.15483
NP_001163161,1.67753,1.24618,1.35797
AAL13990,0.253175,0.0258062,0.354178
AAM50008,2.22874,2.14611,2.36846
NP_001334704,0.510473,0.487578,0
NP_650702,3.03016,2.80257,3.19532
AEQ28952,2.436,2.70791,2.81138
NP_725445,7.58464,7.81837,8.95419
NP_001284899,1.5163,1.44778,1.53445
NP_649438,2.8435,2.91352,3.58736
NP_650542,1.48348,1.4716,1.63223
NP_524214,5.26199,5.87732,5.62031
NP_001246231,24.131,10.459,19.8542
NP_001284813,6.75073,8.92054,8.31142
NP_001014647,0.363491,0.19153,0.214199
NP_728686,2.23205,2.10972,2.03928
NP_651218,1.38975,1.57952,1.99513
AAK92995,0.268567,0.151526,0.0560853
NP_610795,1.74416,1.46733,1.39477
NP_001261924,0.187583,0.311727,0.347981
NP_610418,6.61387,9.28364,7.80996
NP_651655,1.334,1.32296,1.37443
NP_001246838,7.23789,6.29056,7.07557
NP_524048,1.14336,1.17769,1.06418
AAL39330,1.82025,1.90691,1.64981
NP_001261584,0.764614,0.493793,0.764105
NP_001262037,1.70235,1.12093,1.97152
NP_001285488,9.58956,6.2652,9.53891
NP_001287388,1.90771,1.71274,1.75779
CAB51031,2.57683,3.75066,2.71962
NP_610055,5.1114,4.97766,9.52084
NP_523735,0.64812,0.171576,0.833166
AAL90257,4.68698,3.43023,5.04495
NP_511145,5.08792,5.35847,6.52796
NP_651228,1.79727,1.44413,1.48757
NP_001033884,4.33662,4.49326,4.42635
AAM11006,6.03088,5.94222,6.09452
NP_610120,1.84074,1.46934,1.72023
NP_001261995,2.79775,3.27193,2.75346
NP_001188593,2.66972,2.28779,1.92607
NP_610087,0,0.0403864,0.439213
NP_523408,1.70464,2.24871,2.0406
NP_609371,4.53431,5.39081,6.6559
NP_001303380,1.34569,1.8612,0.999508
NP_651208,4.08572,2.59623,2.41747
NP_523510,1.27474,0.203686,0.663899
NP_001286613,0.235613,0.361138,0.0834408
NP_001245926,0.371317,0.249666,0.438707
ADL40960,0.981928,1.56726,0.921806
NP_001259887,1.51413,1.50343,1.68847
AAK93574,0.755057,0.912568,1.08021
NP_651135,2.34685,2.00188,2.20923
NP_523422,1.45549,1.59221,1.21061
AGW25615,5.04441,4.26468,6.72785
NP_648550,1.19785,1.12636,1.32313
NP_723870,0,0.27223,0.289521
NP_001097437,13.0104,13.4297,11.649
NP_651582,15.0317,25.4077,19.0955
NP_524366,3.33495,3.87646,3.5663
NP_001285453,1.43808,1.41191,1.71111
NP_001261638,1.04267,1.06263,0.915328
NP_647623,1.38079,1.52006,1.5275
NP_001188912,1.47714,1.44712,1.22747
NP_650503,1.15555,0.299933,0.710592
AAM12297,1.61224,0.559606,1.79124
NP_477395,6.818,5.05903,6.59591
NP_001260519,4.83099,6.10584,5.49262
NP_648918,111.816,57.3017,149.704
NP_001014572,1.63764,1.71604,1.97983
NP_609029,11.6398,8.14136,11.4141
NP_648597,7.27855,5.33539,5.24367
NP_611232,3.22143,2.67218,3.52956
NP_001286475,4.79219,4.92121,4.74518
BAB69959,1.87369,2.73434,2.71969
NP_476819,3.23999,2.77193,3.33331
NP_524900,1.4267,1.46741,1.24146
AAM50004,1.39268,1.14913,1.31152
AAC28407,5.4359,5.05539,4.94621
NP_001287284,6.33334,7.13416,5.80273
NP_001246671,2.31515,2.78634,2.54541
AAM11368,0.470594,0.655535,0.783023
NP_001285267,4.07179,3.90656,2.59743
NP_651781,16.0654,22.6736,24.9559
NP_001189230,0.985976,1.43132,1.29049
NP_001260964,0.41407,0.541895,0.508836
NP_524359,1.28845,1.12062,0.952966
NP_001163445,20.3142,6.59408,18.1981
NP_001286950,1.96214,1.72844,1.6783
NP_649470,10.0478,22.8379,12.7939
NP_609413,2.55866,2.37192,2.30709
NP_572303,0.86942,0.544984,0.810488
NP_001246101,2.64207,1.72936,3.20165
NP_524653,0.97919,1.21221,1.0252
NP_001259592,3.65985,4.5435,4.03962
AAC12945,0.176008,0.102225,0.170727
AAC46462,3.10592,4.91017,2.63178
NP_476667,126.484,188.912,148.363
NP_477370,7.65016,2.62675,6.75979
NP_001262895,4.70432,3.24978,5.34613
NP_723072,0,0,0.222538
2X6F_A,2.65407,2.60358,2.21949
NP_001245400,0.618952,0.523668,0.607737
NP_001247239,6.43307,4.58753,3.44618
NP_650501,178.213,97.0443,180.823
NP_648657,2.87159,4.06896,2.38631
NP_477150,4.04561,3.55198,4.03944
NP_523369,0.538349,0.650951,0.513478
NP_001259851,0.0756389,0.127815,0.11416
NP_610526,0.61789,0.536916,0.823656
NP_001260556,2.41802,2.68929,2.52457
AAL29148,2.23917,2.4804,2.82865
NP_524337,2.88272,4.62627,1.38097
NP_609397,24.4678,15.508,18.0785
NP_001287214,13.4268,16.7334,13.2438
NP_001284756,0.468613,0.530406,0.600767
NP_001260089,0.365616,0.703319,0.438199
NP_001259905,2.26655,2.20253,2.29789
NP_477019,0.116874,0.236005,0.341933
NP_001162967,6.03381,4.5144,4.06345
NP_651922,1.54465,1.86062,1.90139
NP_001163354,0.367849,0.475096,0.492696
NP_001285589,5.71003,2.37848,5.81425
AAM52735,1.45927,1.20587,1.48552
AAM20923,0.941672,1.04987,1.08372
NP_572861,5.52125,5.26183,6.08872
NP_651529,5.72959,6.24488,5.33944
NP_001247286,0.06744,0.0354813,0.0720795
ACX54880,3.51801,4.81297,4.79195
NP_609079,0.60227,0.413553,0.462301
NP_649519,3.2268,3.71316,4.11799
NP_609648,1.14274,1.13728,1.16328
NP_609058,13.8689,11.9488,12.6735
NP_001261081,2.94176,3.20367,2.87865
NP_995827,0.247122,0.167247,0.18297
NP_001259418,1.3471,1.44359,1.43045
AAL48097,0.202091,0,1.15789
NP_523400,12.2112,12.0243,12.4721
NP_001036360,6.63495,5.66819,5.60359
AAA67715,4.76282,5.57318,5.90317
NP_650805,0.383292,0.137132,0.379621
NP_001137674,0.718379,0.0882696,1.40826
NP_001246454,0.420898,0.598984,0.65542
NP_001261468,2.64286,2.46208,2.23889
NP_611735,0.851379,0.907003,0.829227
NP_001163018,0.539024,0.480064,0.462473
NP_001245852,5.04221,5.63841,6.79064
NP_573025,0.54587,0.573173,0.577559
NP_001163387,0.621685,1.21445,0.948478
AAX33535,1.32067,1.09511,1.18087
NP_647858,5.60671,8.50271,5.5983
NP_001260114,1.43168,1.02542,0.977891
NP_477153,315.421,1140.45,527.78
NP_477159,37.9934,34.8206,40.1288
NP_651314,5.34156,5.05933,5.26704
ADC41872,0.570071,0.586414,0.360776
NP_001284744,0.335353,0.239439,0.225488
CAB77666,8.29615,7.31927,8.17928
NP_573330,1.52552,1.85344,1.32682
NP_001285570,0.5816,0.334185,0.497341
NP_609548,2.71975,2.1856,2.20754
NP_648724,0.959447,1.18964,1.10594
NP_001247347,9.18304,8.13153,8.482
NP_001247130,1.75226,1.6481,1.93007
NP_001262978,0.69582,0.758747,0.814623
NP_610095,1.82785,1.63642,2.12596
NP_650752,6.47267,8.73021,6.20674
NP_001287182,61.8499,56.519,60.9633
ADX35949,0.491723,0.492438,0.535939
NP_001284722,9.2773,7.85388,8.5142
NP_001246491,4.13716,3.23569,2.68697
NP_647705,1.68569,1.75432,1.69586
NP_477291,3.65752,3.10795,3.55706
AAM52041,1.7887,2.02001,1.56785
NP_001163721,5.35482,4.77592,5.66197
AAN71641,0.902151,1.02709,1.00393
NP_648621,2.4745,3.263,2.77172
NP_001162645,7.17784,3.44761,5.73841
NP_001259657,0.854481,0.89632,0.803465
NP_572360,2.21148,2.36817,2.13809
NP_001263131,0.638286,0.822839,0.592967
NP_001188668,3.78358,5.44663,5.76023
NP_001261610,3.29389,3.66343,2.8338
NP_650447,2.17592,2.31428,2.27743
NP_477436,0.925416,1.16976,0.765091
ACV44467,23.2547,28.4136,28.3423
NP_524151,9.2133,8.90068,8.31196
NP_649347,3.53479,3.5461,3.1737
AAL68384,1.67109,1.69659,2.10252
ADH29885,1.07601,1.10278,0.868279
NP_001246500,1.77542,1.40814,1.48345
AAV36965,0.547768,1.22638,0.892243
NP_001260609,2.39381,3.31908,2.4669
NP_001246899,20.9433,17.3274,39.6435
NP_001260903,0.669021,1.00217,0.673082
NP_648976,3.6903,4.63683,4.42289
NP_477212,1.4554,1.64764,1.73372
NP_001285928,6.70906,12.0166,7.73882
NP_611675,1.65315,1.23808,1.92007
NP_523701,2.17335,2.30091,2.19358
NP_610746,1.58275,1.56104,1.38624
NP_001287347,0.136319,0.198862,0.349736
NP_609486,0.383748,0.212768,0.375008
NP_524480,1.22403,1.12569,1.50696
NP_731688,2.43278,2.67827,2.65106
NP_001262679,1.70922,2.00864,1.8592
ACZ54681,7.68611,5.70965,4.72447
NP_001286919,11.0081,15.8594,14.7308
NP_732263,0.601598,0.572753,0.564928
NP_001260781,4.59628,5.73281,4.17344
NP_732110,2.92515,3.28867,2.84228
NP_730941,1.16688,1.31,1.33961
AAL39969,1.60026,1.57211,1.77979
AEE42687,5.60221,5.34298,5.33768
ACX85645,1.81542,1.7674,3.50809
NP_651763,0.697221,1.3563,1.05034
AAK92955,1.62678,1.39311,2.17544
ACX61603,2.27583,2.2152,2.07648
NP_001284879,3.62247,3.40652,3.87831
NP_723879,0.891321,0.869812,0.62972
NP_611095,3.50821,2.04127,3.72286
NP_524061,0.560562,0,0
NP_001259317,2.14674,1.5601,1.65272
AAN71231,1.16738,1.13907,1.0427
NP_570014,4.60743,5.37923,5.05772
NP_649337,3.71216,3.22485,3.51157
NP_724569,4.25938,6.72631,5.93786
NP_647681,1.20015,1.28939,1.10424
NP_001286048,0,0.133435,0.269345
NP_477296,2.34663,1.21907,2.32523
NP_001163560,7.40817,8.37081,7.30967
NP_731473,1.84313,1.30823,1.48486
NP_001284967,0.620284,0.508203,0.571861
NP_001245928,29.4912,29.6237,25.9376
ACN62430,9.39962,9.43717,8.21811
NP_001097002,0.245166,0.325114,0.424795
NP_001036470,3.19755,2.32036,3.62866
AAB88625,2.94039,2.48044,2.56421
NP_536745,3.94046,3.84879,3.78457
NP_001262163,7.58637,8.43381,7.9117
NP_001015405,2.83781,2.86996,9.12691
NP_001097449,3.24264,4.10569,3.14655
NP_729055,4.84113,4.37142,5.09391
NP_001097365,1.82481,3.80315,2.63523
NP_608901,0.363484,0.405321,0.334908
NP_001260229,1.98091,3.03418,3.18383
NP_733295,9.43642,8.10049,9.30088
NP_651728,0.242078,0.240875,0.318182
NP_729825,1.67001,1.57712,1.96567
NP_610020,11.9348,20.2817,8.82511
AAM50007,10.0157,7.2982,8.50684
NP_001096993,12.1335,13.5852,12.0081
NP_001261427,3.68245,2.51674,4.23387
NP_001259534,1.82709,1.84604,1.90863
NP_001163111,8.56403,3.51916,4.97067
ACZ54682,0.569481,0.202945,0.220494
NP_788284,0.372922,0.119188,0
NP_524315,0.291659,0.565722,0.203288
NP_788664,0.374543,0.900384,0
NP_477255,0.267802,0,0.437063
ABM92811,0.225825,0.277989,0.121095
NP_001261655,0,0.567334,0
NP_001260250,0.679661,0.326484,0.531719
NP_611533,0.172612,0.0884134,0.279231
CAA61954,0.189016,0.908748,0.394453
CAA10059,0.59507,0.190494,0.413573
NP_001137830,0.391929,0.375715,0.272112
NP_001027446,0.27546,0.270357,0.0725733
NP_001356961,0.290791,0.150416,0.176221
4JZY_A,0.49439,0.41043,0.0879412
NP_648584,0.189016,0.545249,0.394453
NP_001245402,0.300496,0,0.156853
NP_001260169,0.406167,0.259402,0.117592
NP_001285354,0.150248,0.144208,0.156853
NP_001261601,0.311255,0.25849,0.117791
4XP4_A,0.168414,0.161824,0.702889
AAM29197,0.473107,0.302643,0.164479
NP_650825,0.200279,0.192459,0.417477
NP_001097031,0.15578,0,0.0814098
NP_651390,0.696774,0,0.435761
NP_001163093,0.19007,0.231242,0.100969
NP_001163293,0,0.197466,0.29844
NP_729679,0,0.161824,0.175722
NP_651756,0.645677,0.155426,0.171844
NP_001260251,0.507883,0.487078,0
NP_001162648,0.522572,0.500953,0.408168
NP_477404,0.235663,0,0
NP_523613,0.426323,0.230461,0
NP_570080,0,0.0795954,0.183644
NP_651767,0.287454,0.448806,0.201074
AAM48456,0.492921,0.157798,0.513892
NP_001284965,0.420056,0.30227,0.113134
NP_523705,0.20454,0.206858,0.07335
NP_001260205,0.155144,0.744331,0.485503
NP_995712,0.128811,0.0608223,0.134377
3PXN_A,0.395149,0,0
NP_651709,0.209635,0.139021,0.596348
NP_001162887,0.424375,0.542335,0.147467
NP_996171,0.757378,0.290693,0.158025
NP_649974,0.204155,0.045934,0.268094
NP_511064,0,0.385811,0.210594
AAD39472,0.199298,0,0.534141
CAA36203,0.589582,0,0
NP_610099,0.383588,0,0.399903
AAM91018,0.0968644,0.321163,0.102749
NP_001246351,0.186839,0.160893,0.08349
NP_001261238,0.308949,0.149796,0.123788
NP_001246800,0.177533,0.340861,0.185014
NP_523544,0.312321,0.369065,0.0830593
NP_001246992,0.288358,0.060001,0.173864
NP_001162827,0.137771,0.332292,0.145928
NP_001286786,0,0.27572,0.200308
NP_611390,0.136451,0.0812872,0.0547982
NP_001262055,0.637372,0.407372,0.663899
NP_651912,0.312902,0.600583,0.163145
NP_001284731,0,0.875427,0.19019
ADN05224,0.187272,0.180077,0
NP_001287391,0.489827,0,0.0870832
NP_001260679,0.219964,0.141564,0.233596
NP_726247,0,0.243978,0.172532
NP_001260486,0.500965,0.481491,0
AAA28482,0.139789,0.0894634,0.0503208
NP_723044,0,0.130616,0.284218
NP_001262626,0,0.713835,0.387218
NP_649557,0.2954,0.172836,0.101472
ACL68754,0.180906,0.0704693,0.389624
AAF34825,0.370266,0.236681,0.257639
NP_728468,0.538433,0.28849,0.113062
NP_731872,0.106545,0.138511,0.152761
NP_608811,0.367922,0.35356,0.191861
NP_724982,0.224968,0.288015,0.199224
NP_001262686,0.439837,0.118941,0.0663478
NP_610025,0.860797,0,0.14968
NP_001014592,0.657816,0.378335,0.411028
NP_608835,0.0737577,0.209985,0.398559
NP_732773,0,0.322955,0.0924139
NP_524840,0,0.0625123,0.13249
NP_609293,0.131563,0.126112,0.685046
NP_001259646,0.0763727,0,0
NP_001261078,0.363208,0.0909653,0
NP_524074,0.241093,0.160125,0.31113
NP_611607,0.0862633,0.331753,0
NP_001189303,0.404536,0.388421,0
NP_649219,0.221059,0.278231,0.393492
NP_610185,0.140421,0,0.146383
NP_001262191,0.833509,0.799945,0
CAJ35017,0,0.507058,0.183359
CAC06429,0,0.416185,0
NP_001286934,0.223939,0.160807,0.295305
NP_523661,0,0.610243,0
NP_523488,0,0.188639,0.614552
NP_733043,0.282917,0.406751,0.147467
NP_651307,0,0.511292,0.370028
NP_611166,0,0.396253,0.644695
NP_651095,0.305194,0.368345,0.0928333
AAA29050,0.318704,0.08263,0.338866
AAL86019,0.637372,0.407372,0.442599
NP_001246485,0.345973,0.266555,0.217825
NP_610430,0.229819,0.585416,0
