gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_001027578,7.78063,8.25621,10.9872
NP_001246465,31.6482,24.506,32.6578
NP_001261794,7.74938,9.49472,8.44479
NP_477310,15.9311,15.1887,14.2216
NP_511168,4.62461,7.13603,7.47977
NP_651887,5.29431,4.84825,4.65533
NP_001284872,1.6787,2.84426,1.79279
NP_001287107,6.72025,8.28365,5.89195
NP_572197,0.653721,0.688064,0.64342
NP_611049,2.78913,2.76617,2.53076
NP_001262519,3.20245,1.84454,3.84536
NP_001033941,1.53922,0.763012,1.26669
NP_001259262,0.63881,0.566829,0.611729
NP_611162,0.681433,0.601629,0.55185
NP_650253,11.2602,8.77273,10.6022
NP_609186,1.7394,1.55109,1.4561
6XU6_CB,261.367,309.564,332.886
NP_001245708,0.264472,0.128779,0.182225
NP_001097680,3.55174,3.63902,3.38777
NP_610341,0.179645,0.263655,0.137956
NP_001287386,38.7148,29.7888,33.2837
NP_651668,2.48586,2.27456,7.76756
NP_001303317,69.717,22.7758,71.2732
NP_730100,0.267085,0.209761,0.166749
O77438,1.74671,1.32713,1.2018
NP_001260580,1.98746,2.2203,1.79941
AAM11288,10.8634,11.4817,11.2125
NP_731500,2.50067,1.91038,2.46973
NP_524907,4.06314,3.95206,3.65323
AAC46879,3.1468,1.88126,3.25314
NP_001245823,16.3471,18.2597,11.3948
NP_525083,0.874295,0.266148,0.362739
AAD08705,1.42068,1.283,1.38517
NP_729234,11.5405,11.794,10.6488
NP_001286742,1.89389,2.2399,1.61483
NP_001285282,2.78905,0.697451,2.90452
NP_650693,1.24962,1.48369,1.64763
NP_611650,1.56794,1.23841,1.46559
NP_649579,34.7684,6.31834,52.6038
AAN04293,0.679001,0.711267,0.576987
ACV88437,8.37674,10.0125,10.5629
NP_001027263,4.1436,3.00191,3.73369
NP_651326,8.49141,4.25961,6.9744
NP_001261474,8.76574,11.7976,11.2633
NP_523364,3.06232,1.89498,2.23649
NP_001259982,7.30661,5.10763,7.13451
NP_608995,8.26872,9.3047,9.57681
NP_476578,2.03226,3.96704,2.42803
NP_611955,1.03674,1.22042,1.26638
NP_001189224,0.235893,0.217003,0.0992671
NP_722959,33.2552,58.952,31.0747
NP_001369019,6.23353,5.69435,6.31397
ACT88125,57.8665,51.3352,68.3183
NP_001189177,5.59532,5.89318,5.9377
NP_609655,0.812247,0.71202,0.543179
AAN71318,1.34665,1.45507,1.08078
NP_001303342,4.09472,3.32804,2.57224
NP_001262459,3.16869,4.56083,3.15586
NP_477098,1.13233,0.932988,1.85563
NP_524654,0,0.130702,0.0481228
NP_651251,0.651271,0.578997,0.751523
CAA40804,66.8182,42.6355,80.6904
NP_649789,3.06514,1.61095,2.99685
NP_729380,163.967,61.9552,254.903
NP_001261296,0.488815,0.4992,0.382286
NP_001263095,62.098,18.8889,36.2596
NP_524161,0.917579,0.810186,0.813746
NP_652007,1.43649,1.4562,1.71248
NP_001286508,8.32541,5.51646,8.26846
NP_001163717,1.46896,1.57225,1.48025
NP_524199,0.844121,1.50718,1.18109
NP_651243,0.987396,0.83543,0.96728
NP_723811,2.85706,2.35682,2.5198
NP_001246384,1.06485,1.13393,1.0447
NP_001137821,1.03696,0.979927,1.12058
NP_726071,0.548512,0.673597,0.901658
NP_649216,1.50654,0.386464,0.57608
NP_731849,3.09332,3.28313,2.98131
ACY40036,30.8194,21.7271,24.7603
NP_650111,4.29115,5.38829,3.7436
NP_001287227,1.42275,2.13995,1.7418
NP_001097695,13.6582,15.2111,11.771
NP_608574,2.4694,1.36969,1.68961
NP_569910,0.80039,0.65854,0.798197
NP_523770,0.218116,0.194826,0.0508251
NP_651455,10.0799,19.604,12.8474
NP_001138030,1.05889,0.688492,0.664069
NP_001097110,1.51081,0.604851,0.582998
NP_001245573,0.338102,0.267271,0.0602876
NP_001262285,1.70787,1.52414,1.59911
NP_609503,2.08168,2.33766,2.60082
NP_511055,43.9386,21.9134,47.7096
AAA28509,16.0909,14.4653,16.1775
NP_650431,1.00407,0.516714,0.695522
AAA28730,0.819462,0.798441,0.850739
NP_611382,4.12765,2.09089,4.49034
NP_001163836,1.67742,0.334897,1.17112
NP_523561,0.472859,0.266458,0.17429
NP_001262380,1.56818,1.32365,1.59249
NP_001138168,0.359887,0.386819,0.323036
NP_996026,0.287844,0.575814,0.46021
NP_001036701,0.387919,0.572319,0.354536
NP_001285297,2.34759,2.1047,2.57775
NP_536791,3.54292,3.47219,5.73909
NP_788610,1.03618,0.347904,0.836538
NP_001284913,4.23317,4.78525,3.65087
AAM50097,4.85998,4.81958,4.74562
NP_610876,1.23626,0.944102,1.16065
NP_788051,1.4941,1.69743,1.43726
NP_001261818,2.62327,2.53761,2.69165
ACP44290,9.13239,7.81344,9.0828
NP_523760,0.284943,0.109253,0.374062
NP_001189267,0.746514,0.601929,0.608977
NP_477394,1.64284,1.51179,1.24026
NP_572740,1.24032,1.41428,1.41147
NP_001188572,0,0.166142,0.180176
NP_001260058,1.56657,1.82844,1.58539
NP_570062,0.513072,0.777139,0.954913
NP_001246877,42.5157,15.952,49.5622
NP_001162767,6.89738,6.08863,5.4199
NP_001260619,5.71236,4.07437,6.31862
AAM11409,2.94335,3.57489,3.02768
NP_648837,0.596607,0.40504,0.657727
NP_524999,2.30553,3.36181,3.61528
NP_611175,17.8951,15.8478,17.6509
NP_001356982,2.74254,1.48323,2.67886
NP_523932,1.16575,0.855962,1.34032
NP_610311,3.62769,4.41777,3.67733
NP_001034015,0.573867,0.459769,0.295258
NP_001246799,4.18639,3.9663,4.2398
NP_523830,16.5455,26.1377,16.0659
NP_001259407,7.80394,11.0193,7.60852
NP_647620,0.489829,0.563881,0.553337
NP_001260990,0,9.77E-08,1.42E-08
NP_648990,0.652476,0.730964,0.916548
NP_651400,25.7975,20.6415,18.4368
NP_724594,10.3133,9.84313,10.1009
NP_001261596,11.6436,9.93284,11.1657
NP_651480,0.141458,0.542335,0.147467
AAL39701,1.50087,1.99963,2.64074
AEB39622,42.1386,17.957,42.5001
NP_608619,1.2108,1.41446,1.32882
P41572,13.0486,4.28523,34.9477
NP_001014529,1.01421,0.909151,0.95127
NP_573096,3.64476,6.69635,3.38814
CAA41556,4.89802,5.11347,6.26673
NP_001027152,3.19134,3.9037,3.05602
NP_001247313,1.30511,1.01894,1.01126
NP_001286785,1.495,1.59597,1.49586
NP_996490,7.45157,6.67285,6.89334
NP_001261752,5.01915,4.85215,5.78492
NP_570023,1.41927,1.64075,1.0171
4CY3_A,0,9.73E-11,0.000382321
NP_610875,2.37523,1.78999,2.31755
NP_650854,3.54205,6.04203,3.91029
NP_001287463,12.2402,7.86535,11.6962
NP_524923,5.86003,19.1311,5.34989
NP_001262182,4.23088,5.44453,4.56973
NP_001285509,5.6485,3.38895,2.63606
NP_001097361,10.7353,8.43596,7.12319
NP_572549,1.30797,0.882946,2.73746
NP_649785,37.7751,47.8629,44.4833
NP_001285515,0.185393,0.232236,0.17979
NP_001286348,7.24733,8.42045,9.29622
NP_477225,1.42186,1.71245,1.42359
NP_572382,0.484769,0.661996,0.694122
NP_001285107,10.3635,9.62405,10.1502
NP_511152,4.46478,2.35659,4.36744
NP_609635,8.49648,6.51459,3.53322
NP_651137,4.2347,2.38142,2.74296
NP_001246778,25.632,15.6951,19.689
NP_610086,0.843599,0.819697,0.867737
NP_001015175,6.75516,5.78275,6.06698
NP_001286717,2.87493,3.00727,2.50664
NP_001285269,8.71854,6.92861,7.95715
NP_649931,0.119548,0.171039,0.121552
NP_649703,0.655421,0.501098,0.812659
NP_649026,0.716683,0.701999,0.73723
NP_001097957,3.63643,3.25622,3.37208
NP_001260905,0.267741,0.689719,0.659292
AAQ22396,2.72507,2.59246,2.57732
AED98569,2.74819,2.40555,2.17126
NP_477399,0.255371,0.452752,0.117337
NP_651206,0.124414,0.175088,0.0776848
NP_648954,2.72105,2.75898,2.39878
NP_648352,0.583918,0.593341,0.528463
NP_649827,3.10021,2.14209,2.01804
AAO42634,1.7533,1.63291,1.54488
NP_648749,0.303329,0.300124,0.161057
NP_001263092,0.358555,0.554285,0.558244
NP_647805,1.57634,1.65631,1.54906
NP_001262557,3.5552,3.00629,3.52087
NP_609378,3.04188,2.39825,2.65313
NP_650648,2.17756,0.545351,1.21056
NP_733366,6.49291,3.23059,7.37319
NP_609537,1.22092,0.787159,1.0343
NP_001247149,1.88397,1.43901,2.20041
NP_001286812,0.426703,0.770644,0.439303
NP_610952,0.514127,0.402321,0.589316
NP_573331,1.1915,2.10553,1.95869
NP_648556,2.06111,0.494005,0.805975
NP_651066,2.26621,2.24938,2.31327
NP_001162642,2.42603,2.48455,2.82577
NP_610599,4.15516,5.2944,3.83403
NP_649530,8.74063,6.11035,6.77471
AAR96198,5.2887,13.7521,5.71209
NP_001285404,124.009,77.3999,121.674
NP_001286489,1.77683,1.91619,2.00682
NP_001334731,1.0197,0.543272,1.20185
NP_651217,1.68257,0.936218,1.75996
NP_572215,1.077,1.68478,1.1671
NP_001262316,0.02552,0.180461,0.0612626
NP_001163370,1.1542,0.921701,1.13878
NP_650751,0.785544,0.931158,1.12476
NP_001285979,16.9982,12.0258,11.866
NP_001260339,0.287104,0,0.211001
NP_572297,0.0763406,0.253018,0.422653
NP_001284992,5.95245,6.19757,5.74697
AAY54936,0.501033,1.79578,1.66585
AAM49937,1.95665,2.72911,3.14399
NP_001284859,0.790989,0.518462,0.778783
NP_001286798,4.78336,3.96657,4.24276
NP_001262564,0.68881,0.786078,0.855752
NP_001262494,1.71392,1.30918,1.64233
NP_511068,2.67674,3.76704,2.90658
NP_609711,0.445212,0.41281,0.600321
NP_001036401,1.0289,1.61483,1.07009
NP_610431,4.37817,3.84626,4.0937
NP_647775,23.6914,13.8106,24.3207
NP_608834,1.34152,1.08684,1.27694
NP_651005,2.77463,3.38363,2.39338
NP_726358,10.3813,12.7398,11.0002
NP_611750,1.50201,2.3489,1.41057
NP_001259426,2.16018,1.66374,1.54711
NP_001189184,1.11295,1.11156,0.85022
NP_001285518,1.25301,1.49772,1.07262
NP_650124,1.01612,0.974418,1.19427
NP_609358,0.934611,0.664734,1.1478
NP_477462,7.61341,4.85557,5.96044
NP_647949,1.20805,1.00639,1.42821
NP_608375,73.7185,28.9485,57.4003
NP_732572,12.8317,6.90845,11.5816
AAL31972,7.35712,4.16158,7.56477
NP_611356,4.76516,4.31805,4.12359
NP_477332,17.3792,38.4484,15.3581
NP_724003,1.52554,2.72568,1.14752
NP_001137630,1.76253,2.03411,1.72767
NP_620471,0.923703,1.39077,0.888386
NP_001285218,0.987743,1.00015,1.0928
NP_001138076,1.98571,1.0989,1.42159
NP_650528,0.785805,0.293252,0.171815
NP_649156,1.98696,2.40524,1.84331
ACX70078,3.45127,3.30256,3.53773
NP_001036342,0.350111,0.749957,0.430894
NP_001246855,1.43016,1.56698,1.45619
NP_001259431,0.24704,0.971502,0.733619
NP_001247006,0.899619,0.90984,0.97344
CAL26517,1.15703,1.44297,4.76971
AFH41845,1.31239,1.19726,1.64108
NP_523805,0.874608,0.610908,0.620633
NP_001097863,0.73035,0.0765534,0.43421
CAA66076,1.79223,1.71737,1.90518
ADF28802,3.8198,2.94577,2.31378
NP_001261766,3.30577,3.87554,3.03623
NP_572160,1.98108,1.67724,2.11308
NP_726596,1.74563,1.90906,1.90226
NP_001137999,71.6623,20.1797,47.2551
NP_001163600,0.368298,0.108655,0.0295969
NP_608780,2.37215,2.62264,2.19315
NP_651960,1.41166,1.25696,1.53242
NP_732088,4.13964,3.179,3.20756
NP_788357,1.85785,1.7901,1.57946
NP_001260421,3.69398,5.14213,4.80662
AKD42955,15.9089,5.45018,16.932
NP_477481,1.60597,1.67447,2.06047
NP_649476,2.0298,2.62502,1.93545
NP_573288,1.64347,1.81545,1.88771
NP_572884,6.90723,9.88164,7.94453
CAL26308,8.17113,12.1257,7.67057
NP_001284767,1.80038,2.42244,2.03943
AAM50790,0.453702,0.467721,0.437156
AAK93057,0.848383,0.662217,0.712387
NP_650069,1.36164,3.77486,1.53697
NP_001285326,1.55872,1.46589,1.78195
NP_726775,10.2931,12.2337,10.7032
NP_001188542,3.71,1.17956,2.69815
NP_573055,9.55507,6.85839,7.69712
NP_731309,1.18712,3.85708,3.84998
NP_001262445,0.396936,0.331077,0.302832
NP_001096945,13.2786,21.4923,21.9831
NP_524450,7.82922,7.46588,8.16821
NP_001189101,1.04734,0.912364,0.873407
NP_609081,1.54059,1.63005,1.42461
NP_524463,35.5777,67.8034,32.5943
NP_001285492,2.40057,2.4306,2.8519
NP_001261597,0.907491,1.30463,1.00199
AAL48801,0.157702,0.151321,0
NP_651094,1.76508,1.24023,1.50035
NP_610178,16.1015,7.55412,14.624
NP_650248,7.35843,5.75852,6.8988
NP_608531,40.951,55.8553,41.4218
NP_001286131,2.43345,1.8456,2.45298
ACY79583,2.32936,3.15529,3.55246
NP_611084,0.262439,0.332331,0.312544
NP_001015132,0,0.231276,0.115554
NP_650440,3.93864,9.60397,3.97435
NP_611467,0.50545,0.390925,0.577429
NP_001262717,5.78774,4.87839,3.78433
NP_001097796,2.05149,1.6672,1.79174
BAB20792,0.604428,0.961538,0.825436
NP_723789,2.42559,5.03588,4.47439
NP_610223,3.38811,2.76491,2.87309
NP_001260595,0.275416,0.357753,0.181623
NP_524100,2.63118,1.69824,3.50896
NP_001262884,2.54192,1.81469,2.38063
NP_001303491,2.15622,1.99246,2.20511
NP_001284851,0.245909,0.355716,0.544858
NP_001259537,12.7134,21.6896,16.8534
BAA83721,0.119498,0.1357,0.0467146
NP_542446,0.583572,0.527445,0.6763
NP_001260832,2.34221,2.44414,2.86764
NP_001259941,0.558552,0.431005,0.512012
NP_477453,2.09147,1.78855,1.99577
AAL39987,0.348519,0.319826,0.0876522
NP_001163665,0.352127,0.418943,0.376724
NP_723738,0.254901,0.000824693,0.0282201
NP_610400,0.880342,0.568187,0.836051
NP_523429,1.55428,1.41799,1.55387
NP_651885,16.5873,15.7658,15.4463
NP_001259486,1.57684,2.41656,1.97794
NP_731238,2.21601,2.0554,2.11391
AAN71047,2.32017,2.18823,2.72757
NP_001285698,0.31006,0.236286,0.478438
NP_729803,7.4767,1.35902,2.6449
NP_727980,0.781496,0.904072,0.829374
NP_727311,7.84963,6.87159,7.25812
NP_569961,0.508217,0.391192,1.06992
NP_610288,2.18477,2.89303,2.84281
NP_001247400,3.03161,0.86646,2.01032
NP_728308,0.441202,0.332964,0.506825
NP_572488,2.7453,2.16234,2.80159
NP_001286053,48.8887,23.6699,14.1402
NP_611692,0.92644,0.787191,0.813165
NP_995833,0.75888,0.661803,0.775333
NP_648489,1.14628,1.03166,2.18202
NP_001097890,8.21752,3.84398,3.77487
NP_610968,0.0171974,0.253526,0.272996
NP_612047,0.69844,0.581275,0.581512
NP_001287387,3.42478,3.89601,4.01289
NP_524901,3.43721,2.49063,3.24479
NP_001259954,0.604175,0.0775062,0.270865
NP_572434,3.23134,2.49376,3.03536
NP_001036344,0.209491,0.392678,0.68714
NP_611832,0.0390159,1.20024,0.6082
NP_001246957,10.6396,10.1279,9.461
NP_572307,0.73608,0.527938,1.30128
NP_573360,1.29982,1.34494,1.96753
NP_611460,0.836612,0.366463,0.43775
NP_001285072,3.00011,4.65856,3.55112
NP_001014454,0.00845652,0.864253,0.405343
NP_001284993,0.393026,0.3938,0.609209
NP_001036276,117.281,40.7524,37.6824
NP_001284912,4.60944,5.94611,5.18042
AAM50550,2.28816,1.75733,2.17572
NP_995691,3.01262,5.16435,4.26367
NP_524001,1.51468,1.19761,1.28259
AAL49329,1.05783,1.21718,1.02512
NP_610019,1.12847,1.09598,1.19914
NP_730669,18.7026,15.5973,18.5247
NP_001259984,5.81319,5.18855,5.99173
NP_001163784,16.0547,12.0321,15.05
NP_523573,0.219532,0.115674,0.148609
NP_001259829,0.514985,0.270112,0.37671
NP_001285719,5.56529,8.65221,5.30758
NP_572438,0.286536,0.279738,0.435884
NP_524118,8.03468,7.32316,9.12174
NP_609670,3.62955,5.5769,3.42948
NP_001261892,2.64654,2.31534,2.38199
NP_647877,5.67591,4.36227,7.23735
NP_609151,17.7208,23.3487,21.3552
NP_001262932,3.46652,5.04462,4.26112
AAO39581,2.79531,2.7739,2.77327
NP_649580,0.911493,1.10593,0.860819
NP_477075,6.15453,5.1384,5.31983
NP_652032,24.8226,28.885,23.0637
NP_649090,2.75507,7.72379,3.51483
NP_001287070,1.16906,1.36292,1.13512
NP_001286846,1.68258,1.69707,1.74172
AAB95431,0.826431,0.924627,0.51195
NP_001014515,36.5299,44.7035,37.1084
NP_001163313,1.57176,2.35575,1.42935
NP_001260215,7.29383,4.5225,5.99699
NP_569850,2.59089,1.14808,1.71306
NP_610504,9.7966,2.85178,6.24648
NP_536731,74.9587,49.7567,74.6936
NP_001284801,0.709387,0.826132,0.870844
NP_651116,5.09683,5.59043,3.54332
NP_001259925,0.325003,1.31886,0.864845
NP_001287506,12.4597,8.07235,9.65044
NP_001097380,0.188434,0.155169,0.100369
NP_001245819,3.04027,3.39563,2.58208
BAA34397,15.5019,21.9133,19.1431
NP_001261248,8.07878,12.9534,5.7469
NP_649069,31.2848,40.3041,35.3402
NP_652610,3.10224,3.76673,3.20901
NP_001261008,0,0,0
ABB36459,6.04186,8.37451,6.36071
NP_001189058,0.633227,0.5245,0.436139
AAA28573,0.61357,0.6838,0.49812
NP_651356,0.920739,0.524781,0.754687
ABG02147,46.8267,31.638,43.8119
ABJ17078,3.63117,3.75385,3.45733
NP_573128,17.7972,18.1312,17.1725
AAL28441,3.8052,4.13805,3.81181
NP_001261847,3.615,3.12438,2.80379
NP_001189236,5.95735,6.47346,6.67651
NP_724095,0.0699225,0.236324,0.295554
NP_001188973,1.13736,0.441172,1.70824
NP_523568,5.26869,5.62032,5.31386
NP_001263027,2.8586,2.72275,2.71435
NP_001261083,1.41406,1.23853,1.46337
NP_730984,0.858402,1.15365,0.807603
NP_001286142,97.8952,74.8488,73.4025
NP_001245437,2.80545,2.40771,3.10056
NP_001262885,0.205182,0.0997166,0.196349
NP_608934,6.26195,5.52615,7.28288
NP_001303371,2.2508,2.34105,2.29059
AAF34688,2.0629,2.08704,2.01489
NP_001163767,0.822187,1.12389,1.04937
AAW83821,4.62085,8.66684,7.45465
NP_523898,1.15055,1.18927,1.30887
NP_523620,0.187549,0.221624,0.430038
NP_572356,0.136372,0.602792,0.172858
NP_001137610,5.94126,6.45088,5.78413
NP_726482,1.49539,1.1162,1.48345
NP_728822,1.14581,0.798142,1.12956
NP_611010,1.28628,0.774001,0.898058
NP_996288,1.2098,1.09935,1.19651
NP_524660,0.331946,0.507861,0.24968
